ts_code,event_type,report_period,announcement_date,event_trading_date,earnings_surprise,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,positive_revision_dummy,CAR20,CAR60,size,beta,book_to_market,turnover20
000915.SZ,guidance_initial,2020-06-30,2020-07-03,2020-07-06,115.0,52.5,-62.5,cross_sectional_90d_median,0,-0.11662680109570042,-0.2457238942505838,766966.9504,0.9538871838796513,0.22301019156575458,
002045.SZ,guidance_initial,2020-06-30,2020-07-03,2020-07-06,-18.930000000000007,-81.43,-62.5,cross_sectional_90d_median,0,-0.031166438056675107,0.02047390711732188,668229.9608,1.3745199809630066,0.6623393826996953,
000550.SZ,guidance_initial,2020-06-30,2020-07-06,2020-07-07,315.03999999999996,252.54,-62.5,cross_sectional_90d_median,0,-0.027609199777789816,0.14373058016069037,1651328.382,1.1774983076515946,0.7085163667280714,
002124.SZ,guidance_initial,2020-06-30,2020-07-06,2020-07-07,579.01,516.51,-62.5,cross_sectional_90d_median,0,0.18527485672441077,0.10947600302387658,651026.6128,1.206423597623162,0.6044487427466151,
000159.SZ,guidance_initial,2020-06-30,2020-07-07,2020-07-08,510.735,465.735,-45.0,cross_sectional_90d_median,0,0.08704765451700613,0.0674141521808681,303793.5476,1.1758612986466284,0.676544212164265,
000400.SZ,guidance_initial,2020-06-30,2020-07-07,2020-07-08,128.5,83.5,-45.0,cross_sectional_90d_median,0,0.060121790912377966,-0.01699606874339386,2652492.3364,1.0484881186927058,0.4626844954425577,
000557.SZ,guidance_initial,2020-06-30,2020-07-07,2020-07-08,50.81,5.81,-45.0,cross_sectional_90d_median,0,-0.038214892382735274,-0.07517717165576909,682519.376,0.861369643978668,0.9280742459396752,
000612.SZ,guidance_initial,2020-06-30,2020-07-07,2020-07-08,582.07645,537.07645,-45.0,cross_sectional_90d_median,0,0.24643511817008507,-0.052966132202355715,1636889.768,0.8726621601859329,0.4392901071867861,
000661.SZ,guidance_initial,2020-06-30,2020-07-07,2020-07-08,125.0,80.0,-45.0,cross_sectional_90d_median,0,0.10160907119849114,-0.14302673149554226,3561294.6282,0.7628379065419435,0.6460365656696169,
000688.SZ,guidance_initial,2020-06-30,2020-07-07,2020-07-08,-23.355000000000004,-68.355,-45.0,cross_sectional_90d_median,0,0.20590366900750384,0.01683793947784347,5537821.3901,0.4300676277907433,0.046981000883242814,
000829.SZ,guidance_initial,2020-06-30,2020-07-07,2020-07-08,536.95,491.95,-45.0,cross_sectional_90d_median,0,0.16842777143517546,-0.01641061484676187,1107108.473,1.0541123030584414,0.26342131605289504,
001696.SZ,guidance_initial,2020-06-30,2020-07-07,2020-07-08,95.0,50.0,-45.0,cross_sectional_90d_median,0,0.2663348298913828,0.13324616610977152,2239672.6555,1.0005261746443082,0.24481002741872304,
000530.SZ,guidance_initial,2020-06-30,2020-07-08,2020-07-09,-100.56825,-123.06825,-22.5,cross_sectional_90d_median,0,0.133465479335173,0.02452383161744251,510986.7792,0.8884435965664038,0.6227813414710096,
000591.SZ,guidance_initial,2020-06-30,2020-07-08,2020-07-09,81.445,58.945,-22.5,cross_sectional_90d_median,0,0.33552789069822075,0.2589150543910356,2092451.6729,1.0433559645734096,1.151808339092375,
000603.SZ,guidance_initial,2020-06-30,2020-07-08,2020-07-09,-67.60499999999999,-90.10499999999999,-22.5,cross_sectional_90d_median,0,0.40985815281033533,0.16120156161984278,2840603.7975,1.2182586675708411,0.115830563052367,
000881.SZ,guidance_initial,2020-06-30,2020-07-08,2020-07-09,334.83000000000004,312.33000000000004,-22.5,cross_sectional_90d_median,0,0.20485232198323028,0.1805889065143906,886809.4145,0.9366127574027634,0.6364562118126273,
000962.SZ,guidance_initial,2020-06-30,2020-07-08,2020-07-09,470.0,447.5,-22.5,cross_sectional_90d_median,0,0.21267801115486185,0.09565809051521339,326216.1566,1.027801727401247,0.356531660011409,
002039.SZ,guidance_initial,2020-06-30,2020-07-08,2020-07-09,92.5,70.0,-22.5,cross_sectional_90d_median,0,-0.03675705564037528,-0.06583649066396774,891458.6927,0.5606864725158452,0.4981816370248593,
002189.SZ,guidance_initial,2020-06-30,2020-07-08,2020-07-09,17.43,-5.07,-22.5,cross_sectional_90d_median,0,0.20390430236127072,0.04229434209880117,521092.5496,1.1789342529008773,0.1010070401907013,
