ts_code,ann_date,end_date,period_end,event_trade_date,event_type,event_subtype,event_value_np,event_value_eps,event_value_yoy,event_source,type,p_change_min,p_change_max,net_profit_min,net_profit_max,first_ann_date,summary,change_reason,guidance_yoy_midpoint,forecast_profit_mid,revision_magnitude,source_endpoint,name,industry,list_date,perf_summary,update_flag,event_id,expectation_source,matched_report_date,matched_report_count,matched_broker_count,report_rc_match_quality,expected_np,expected_eps,expected_target_price,expected_rating,text_over_expectation_fraction,revision_magnitude_np,revision_magnitude_eps,target_price_change,upward_revision_count,downward_revision_count,analyst_count,fraction_upgraded,forecast_surprise_raw,forecast_surprise_pct,express_surprise_raw,express_surprise_pct,final_surprise_raw,final_surprise_pct,main_surprise_raw,main_surprise_pct,surprise_family,main_surprise_std,event_day_ret,event_day_vol,list_trade_day_idx,event_trade_day_idx,listed_days,turnover20
000159.SZ,2020-07-07,2020-06-30,2020-06-30,2020-07-08,preannouncement,initial,6500.0,,465.735,forecast_vip,预增,378.7,552.77,5500.0,7500.0,2020-07-07,预计净利润5500-7500万,"报告期业绩较上年同期增加,主要为处置加油站资产的净收益约2500万元,证券投资的公允价值变动损益及投资收益的净利润影响额约2900万元,上述为非经常性损益,同时归属上市公司股东的扣非后净利润约1000余万元.",465.735,6500.0,,forecast_vip,国际实业,石油贸易,2000-09-26,,,178,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,0.03819444444444464,451982.56,0,122,122,3.4581299999999997
000400.SZ,2020-07-07,2020-06-30,2020-06-30,2020-07-08,preannouncement,initial,36000.0,,83.5,forecast_vip,预增,76.0,91.0,34500.0,37500.0,2020-07-07,预计净利润34500-37500万,一是本报告期内主营业务收入较上年同期增长较多，带动利润稳步增长；二是受降本增效等多种因素影响，公司产品综合毛利率有所提升。,83.5,36000.0,,forecast_vip,许继电气,电气设备,1997-04-18,,,179,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,0.029972752043596618,308758.09,0,122,122,1.58301
000530.SZ,2020-07-08,2020-06-30,2020-06-30,2020-07-09,preannouncement,initial,-2500.0,,-123.06825,forecast_vip,首亏,-127.6819,-118.4546,-3000.0,-2000.0,2020-07-08,预计净利润-3000~-2000万,"2020年半年度,公司净利润同比明显下降并出现亏损,主要原因如下:1,上年同期存在金额较大的非经常性收益,具体如下:(1)公司所持国泰君安公允价值变动自2019年1月1日起计入当期损益,其正向变动给公司2019年半年度带来净收益约4,046万元;(2)“18大冷EB”持有人在2019年半年度累计换股838.89万股,增加2019年半年度净收益约4,057万元.2,本报告期存在金额较大的非经常性损失,具体如下:公司所持国泰君安公允价值负向变动,给公司2020年半年度带来净损失约1,642万元.3,2020年半年度,受突发新冠肺炎疫情影响,公司及联营公司营业收入减少,实现利润相应减少.",-123.06825,-2500.0,,forecast_vip,冰山冷热,机械基件,1993-12-08,,,180,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,0.01621621621621605,110442.9,0,123,123,0.9963050000000001
000045.SZ,2020-07-09,2020-06-30,2020-06-30,2020-07-10,preannouncement,initial,86.0,,-89.02,forecast_vip,预减,-91.19,-86.85,69.0,103.0,2020-07-09,预计净利润69-103万,"2020年上半年,公司全力以赴做好疫情防控与复产复工工作,努力抓好偏光片主业生产经营,子公司深圳市盛波光电科技有限公司(以下简称“盛波光电”)针对TFT-LCD4/6号线产品订单结构的调整初见成效,偏光片业务同比减亏明显.报告期内,归属于上市公司股东的净利润较上年同期减少的主要原因:一是为共同应对新型冠状病毒肺炎疫情,积极履行社会责任,公司及所属全资企业响应深圳市委市政府及国资委的号召,减免自有物业(除住宅类物业)的部分租户本年度二,三月份租金,报告期租金收入同比大幅减少;二是本报告期子公司盛波光电未开展贸易业务,贸易业务收入同比减少.报告期内,公司预计非经常性损益对归属于上市公司股东的净利润的影响金额约为783.77万元,主要为政府补助收入.",-89.02,86.0,,forecast_vip,深纺织Ａ,元器件,1994-08-15,,,181,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,0.09963985594237701,172758.39,0,124,124,2.1299200000000003
000090.SZ,2020-07-09,2020-06-30,2020-06-30,2020-07-10,preannouncement,initial,125000.0,,419.72,forecast_vip,预增,398.93,440.51,120000.0,130000.0,2020-07-09,预计净利润120000-130000万,"报告期业绩增加主要原因是天健天骄项目结转收入增加,利润增加所致.",419.72,125000.0,,forecast_vip,天健集团,建筑工程,1999-07-21,,,182,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,0.07747318235995215,1199917.11,0,124,124,3.08092
000031.SZ,2020-07-11,2020-06-30,2020-06-30,2020-07-13,preannouncement,initial,55000.0,,-70.5,forecast_vip,预减,-76.0,-65.0,45000.0,65000.0,2020-07-11,预计净利润45000-65000万,"本报告期归属于上市公司股东的净利润较上年同期下降,主要原因是：（1）购物中心运营受新型冠状病毒肺炎疫情影响显著，客流量、出租率下降,同时为共同应对疫情，公司积极履行央企社会责任，对租户推出租金减免政策以减轻其经营压力，致购物中心租金收入同比减少；（2）疫情还导致酒店客房入住率大幅下降，公司酒店业务收入同比减少；（3）公司本期达到收入结算条件的商品房资源同比减少，以及结算产品结构变动，商品房销售收入同比下降。",-70.5,55000.0,,forecast_vip,大悦城,全国地产,1993-10-08,,,183,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,0.03966942148760344,736378.82,0,125,125,1.20655
000037.SZ,2020-07-11,2020-06-30,2020-06-30,2020-07-13,preannouncement,initial,5200.0,,305.6702,forecast_vip,扭亏,305.6702,305.6702,5200.0,5200.0,2020-07-11,预计净利润5200万,"公司本期业绩盈利的主要原因为:1,公司天然气采购成本比上年同期有所下降;2,公司近两月电力市场化交易收益比上年同期有所提升;3,公司转让深南电(东莞)唯美电力有限公司70%股权实现投资收益3,353万元人民币(属于非经常性损益).",305.6702,5200.0,,forecast_vip,深南电A,火力发电,1994-07-01,,,184,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,0.09987357774968375,9472.88,0,125,125,0.7414050000000001
000058.SZ,2020-07-11,2020-06-30,2020-06-30,2020-07-13,express,release,57290505.98,0.0464,83287552.02,express_vip,,,,,,,,,,,,express_vip,深赛格,商品城,1996-12-26,,0.0,185,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,express,,0.09980988593155904,76177.74,0,125,125,5.12197
000059.SZ,2020-07-11,2020-06-30,2020-06-30,2020-07-13,preannouncement,initial,-66000.0,,-210.12,forecast_vip,首亏,-213.46,-206.78,-68000.0,-64000.0,2020-07-11,预计净利润-68000~-64000万,"报告期内,受新冠肺炎疫情影响公司产品销量大幅下降,导致装置一度低负荷运行,单位成本提高;同时受到国际原油市场影响,产品价格断崖式下跌,而由于生产周期较长,原油成本长期处于高位.综上所述,2020年半年度公司归属于上市公司股东的净利润比上年同期大幅下滑.",-210.12,-66000.0,,forecast_vip,华锦股份,石油加工,1997-01-30,,,186,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,0.015841584158415856,289043.57,0,125,125,0.7869849999999999
000151.SZ,2020-07-11,2020-06-30,2020-06-30,2020-07-13,preannouncement,initial,750.0,,153.5,forecast_vip,扭亏,143.0,164.0,600.0,900.0,2020-07-11,预计净利润600-900万,"公司预计2020年半年度经营业绩较上年同期扭亏为盈,主要原因:1,公司贸易业务规模同比增加;2,公司加大收款力度收回了部分古巴贸易款,转回相应的信用减值损失;3,受国内新冠肺炎疫情以及境外疫情蔓延影响,公司境外工程承包项目执行过程中人员出入境和设备物资供应受阻,按照完工进度确认的收入,成本同比减少.",153.5,750.0,,forecast_vip,中成股份,商贸代理,2000-09-06,,,187,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,0.016096579476861272,120267.15,0,125,125,2.4261500000000003
