ts_code,ann_date,end_date,n_income_attr_p,basic_eps,diluted_eps,actual_earnings,fiscal_year,fiscal_quarter,actual_earnings_single_q,expected_earnings,earnings_surprise_raw,expected_earnings_single_q,earnings_surprise_single_q,earnings_surprise
000001.SZ,2020-02-14,2019-12-31,28195000000.0,1.54,1.45,28195000000.0,2019,4,0.0,24818000000.0,0.136070593923765,0.0,,0.136070593923765
000001.SZ,2020-04-21,2020-03-31,8548000000.0,0.4,0.4,8548000000.0,2020,1,8548000000.0,7446000000.0,0.1479989255976363,7446000000.0,0.1479989255976363,0.1479989255976363
000001.SZ,2020-08-28,2020-06-30,13678000000.0,0.66,0.66,13678000000.0,2020,2,0.0,15403000000.0,-0.11199117055119133,0.0,,-0.11199117055119133
000001.SZ,2020-10-22,2020-09-30,22398000000.0,1.11,1.11,22398000000.0,2020,3,0.0,23621000000.0,-0.051775962067651664,8218000000.0,-1.0,-1.0
000001.SZ,2021-02-02,2020-12-31,28928000000.0,1.4,1.4,28928000000.0,2020,4,0.0,28195000000.0,0.0259975172902997,0.0,,0.0259975172902997
000001.SZ,2021-04-21,2021-03-31,10132000000.0,0.42,0.42,10132000000.0,2021,1,0.0,8548000000.0,0.18530650444548433,8548000000.0,-1.0,-1.0
000001.SZ,2021-08-20,2021-06-30,17583000000.0,0.8,0.8,17583000000.0,2021,2,7451000000.0,13678000000.0,0.28549495540283665,0.0,,0.28549495540283665
000001.SZ,2021-10-21,2021-09-30,29135000000.0,1.4,1.4,29135000000.0,2021,3,11552000000.0,22398000000.0,0.30078578444503973,0.0,,0.30078578444503973
000001.SZ,2022-03-10,2021-12-31,36336000000.0,1.73,1.73,36336000000.0,2021,4,0.0,28928000000.0,0.2560840707964602,0.0,,0.2560840707964602
000001.SZ,2022-04-27,2022-03-31,12850000000.0,0.56,0.56,12850000000.0,2022,1,12850000000.0,10132000000.0,0.268258981444927,0.0,,0.268258981444927
000001.SZ,2022-08-18,2022-06-30,22088000000.0,1.03,1.03,22088000000.0,2022,2,9238000000.0,17583000000.0,0.25621338793152476,7451000000.0,0.2398335793853174,0.2398335793853174
000001.SZ,2022-10-25,2022-09-30,36659000000.0,1.78,1.78,36659000000.0,2022,3,14571000000.0,29135000000.0,0.25824609576111207,11552000000.0,0.26134002770083103,0.26134002770083103
000001.SZ,2023-03-09,2022-12-31,45516000000.0,2.2,2.2,45516000000.0,2022,4,0.0,36336000000.0,0.25264200792602376,0.0,,0.25264200792602376
000001.SZ,2023-04-25,2023-03-31,14602000000.0,0.65,0.65,14602000000.0,2023,1,0.0,12850000000.0,0.13634241245136186,12850000000.0,-1.0,-1.0
000001.SZ,2023-08-24,2023-06-30,25387000000.0,1.2,1.2,25387000000.0,2023,2,10785000000.0,22088000000.0,0.14935711698659906,9238000000.0,0.1674604892833947,0.1674604892833947
000001.SZ,2023-10-25,2023-09-30,39635000000.0,1.94,1.94,39635000000.0,2023,3,14248000000.0,36659000000.0,0.08118061049128454,14571000000.0,-0.02216731864662686,-0.02216731864662686
000001.SZ,2024-03-15,2023-12-31,46455000000.0,2.25,2.25,46455000000.0,2023,4,6820000000.0,45516000000.0,0.020630108093857104,0.0,,0.020630108093857104
000001.SZ,2024-04-20,2024-03-31,14932000000.0,0.66,0.66,14932000000.0,2024,1,14932000000.0,14602000000.0,0.022599643884399397,0.0,,0.022599643884399397
000001.SZ,2024-08-16,2024-06-30,25879000000.0,1.23,1.23,25879000000.0,2024,2,10947000000.0,25387000000.0,0.019379997636585655,10785000000.0,0.01502086230876217,0.01502086230876217
000001.SZ,2024-10-19,2024-09-30,39729000000.0,1.94,1.94,39729000000.0,2024,3,13850000000.0,39635000000.0,0.0023716412261889745,14248000000.0,-0.027933745087029758,-0.027933745087029758
