ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag,guidance_yoy_midpoint,name,industry,list_date,event_trade_date,prev_mid_same_period,prev_low_same_period,prev_high_same_period,is_upward_revision,consensus_source,analyst_consensus_yoy_proxy,ES_main,consensus_proxy_v2,consensus_source_v2,quarter,firm_hist_mid,ind_q,ind_hist_mid,ES_raw_v2,firm_es_mad,ES_scale,ES_std_unclipped,ES_std,event_type,positive_revision_dummy
000563.SZ,2020-01-04,2019-12-31,预增,81.4,81.4,57953.0,57953.0,31947.42,2020-01-04,预计净利润57953万,1.公司积极应对市场和政策环境等变化带来的严峻挑战，在严控房地产信托、压降事务类信托业务的同时，主动调优业务结构，狠抓主动管理型信托业务着力服务实体经济，有效防控各类风险，确保了信托主业的稳健、安全、持续发展。2.不断优化自有资金投融资结构，加大资金运作力度，相关收入同比增加较多。3.公司抓住资本市场机会积极运作，证券投资相关收益同比大幅增加。,0,81.4,陕国投Ａ,多元金融,1994-01-10,2020-01-06,,,,False,fallback_zero,0.0,81.4,0.0,fallback_zero,4,,多元金融_4,,81.4,,481.394909548882,0.1690919417413043,0.1690919417413043,guidance_initial,0
000661.SZ,2020-01-03,2019-12-31,略增,20.1403,35.1578,161039.0,181169.0,134042.67,2020-01-03,预计净利润161039-181169万,1、控股骨干制药企业收入增长；2、房地产开发项目结算收入同比上升；3、2019年内实施重大资产重组，公司于2019年11月完成了对金赛药业29.5%少数股东股权的收购，因此公司自2019年11月按持股比例99.5%合并金赛药业的财务报表。,0,27.649050000000003,长春高新,生物制药,1996-12-18,2020-01-06,,,,False,fallback_zero,0.0,27.649050000000003,0.0,fallback_zero,4,,生物制药_4,,27.649050000000003,,481.394909548882,0.05743527704916965,0.05743527704916965,guidance_initial,0
000703.SZ,2020-01-04,2019-12-31,预增,42.71,58.0,280000.0,310000.0,196205.27,2020-01-04,预计净利润280000-310000万,1、报告期内，公司“一带一路”重点项目——文莱PMB石油化工项目于2019年11月实现全面投产，并顺利产出合格汽油、柴油、航空煤油、PX、苯等产品，项目正式进入商业运营，逐步为上市公司贡献效益。2、报告期内，公司精对苯二甲酸（PTA）、己内酰胺（CPL）、聚酯纤维（含FDY、POY、DTY和短纤）及瓶片等主营产品竞争力继续增强，行业持续保持有序竞争，产品毛利率持续保持良好水平。同时公司作为产业链龙头企业之一，不断加大产品创新和智能制造投入，产品结构进一步优化，生产效率进一步提升，此外管理变革产业链间协同效应的有效发挥，加工成本持续降低，产品精准营销持续增强，业务盈利能力显著增强，上述主营业务产品净利润较去年同期继续增加。,0,50.355000000000004,恒逸石化,化纤,1997-03-28,2020-01-06,,,,False,fallback_zero,0.0,50.355000000000004,0.0,fallback_zero,4,,化纤_4,,50.355000000000004,,481.394909548882,0.10460226936588915,0.10460226936588915,guidance_initial,0
000690.SZ,2020-01-06,2019-12-31,预增,49.06,98.75,69000.0,92000.0,46289.12,2020-01-06,预计净利润69000-92000万,2019年，社会用电需求平稳增长，公司投资建设的广东陆丰甲湖湾电厂新建工程项目（2×1000MW超超临界机组）两台机组分别于2018年11月和2019年4月投产发电，使公司电力板块总装机容量从151.8万千瓦提升至351.8万千瓦，增长了131.75%，公司电力业务规模跃上了一个新台阶，生产能力进一步扩大，电力主业营业收入和营业利润大幅增加。,0,73.905,宝新能源,火力发电,1997-01-28,2020-01-07,,,,False,fallback_zero,0.0,73.905,0.0,fallback_zero,4,,火力发电_4,,73.905,,481.394909548882,0.15352260386229843,0.15352260386229843,guidance_initial,0
000401.SZ,2020-01-07,2019-12-31,略增,41.03,46.29,268000.0,278000.0,190032.0,2020-01-07,预计净利润268000-278000万,"（一）报告期,受益于水泥行业供给侧结构性改革的深入推进及核心区域市场需求改善的积极影响，市场秩序持续好转，销量同比基本持平，售价同比进一步提升。公司进一步加大管理强度，推进生产企业“培优”及战略营销，运行质量持续提高，经济效益提升。公司归属于上市公司股东的净利润同比上升。（二）公司与金隅集团重大资产重组顺利完成，重组效应持续显现，归属于上市公司股东的净利润明显提升。(三)报告期，计提资产减值准备影响归属于上市公司股东的净利润减少约23,600万元。其他说明：1.北京金隅集团股份有限公司（以下简称“金隅集团”）以所持有的赞皇金隅水泥有限公司等7家公司的股权出资，公司以所持有的临澧冀东水泥有限公司等5家公司的股权及24.82亿元现金出资，双方共同向合资公司增资，同时公司以15.37亿元现金向金隅集团购买其所持有的左权金隅水泥有限公司等7家公司股权的重大资产重组已于2019年3月实施完成。2.公司控股子公司金隅冀东水泥（唐山）有限责任公司以现金方式收购冀东砂石骨料有限公司所持冀东发展泾阳建材有限责任公司100%股权和涞水京涞建材有限责任公司85%股权，已于2019年12月实施完成。以上重组形成同一控制下企业合并，上年同期数据按照企业会计准则进行追溯调整。3.本公司于2018年12月发行2018年度第一期中期票据，本报告期预计未扣除其他权益工具的基本每股收益为1.989元/股—2.063元/股。",0,43.66,金隅冀东,水泥,1996-06-14,2020-01-08,,,,False,fallback_zero,0.0,43.66,0.0,fallback_zero,4,,水泥_4,,43.66,,481.394909548882,0.0906947687521541,0.0906947687521541,guidance_initial,0
000672.SZ,2020-01-07,2019-12-31,预增,53.0,60.0,225000.0,235000.0,147235.58,2020-01-07,预计净利润225000-235000万,本报告期业绩比上年同期上升的主要原因：1、2019年，公司按照稳中求进的总体战略规划，推进落实高质量发展计划，把握市场机遇，重抓节能降耗，严控成本费用，进一步夯实核心竞争力，全年主产品产销量保持增长，成本控制平稳，产品盈利大幅增长。2、受益供给侧结构性改革及去产能政策指引，水泥行业产能供给有效控制而总体市场需求保持稳定，市场秩序改善，公司所在区域产品价格上升，营业收入保持增长。3、全年砂石骨料产品销量增幅较高，骨料业务盈利大幅增长，全年砂石骨料业务实现净利润约2.1~2.3亿元。,0,56.5,上峰水泥,水泥,1996-12-18,2020-01-08,,,,False,fallback_zero,0.0,56.5,0.0,fallback_zero,4,,水泥_4,,56.5,,481.394909548882,0.11736725685975051,0.11736725685975051,guidance_initial,0
000739.SZ,2020-01-07,2019-12-31,预增,43.02,56.52,53000.0,58000.0,37057.0,2020-01-07,预计净利润53000-58000万,本报告期归属于上市公司股东的净利润同比增长主要是由于本期营业收入和毛利均同比增长。,0,49.77,普洛药业,化学制药,1997-05-09,2020-01-08,,,,False,fallback_zero,0.0,49.77,0.0,fallback_zero,4,,化学制药_4,,49.77,,481.394909548882,0.10338705086565989,0.10338705086565989,guidance_initial,0
000791.SZ,2020-01-08,2019-12-31,略减,-17.56,-11.38,40000.0,43000.0,48519.92,2020-01-08,预计净利润40000-43000万,本报告期与上年同期相比，预计归属于上市公司股东的净利润同比减少。本报告期公司所属电站发电量89.66亿千瓦时，上年同期发电量86.82亿千瓦时，同比增加2.84亿千瓦时（其中：水力发电业务本报告期发电量73.57亿千瓦时，上年同期发电量72.40亿千瓦时，同比增加1.17亿千瓦时；风力发电业务发电量为13.96亿千瓦时，上年同期发电量12.52亿千瓦时，同比增加1.44亿千瓦时；光伏发电业务发电量为2.13亿千瓦时，上年同期发电量1.90亿千瓦时，同比增加0.23亿千瓦时）。但由于2019年优先发电计划调整等因素影响，造成公司所属电站上网电量平均结算电价下降，营业收入同比减少。同时，公司控股子公司甘肃电投九甸峡水电开发有限责任公司于报告期内实施完成了债转股，公司持有的股权比例由90%下降为59.4%。,0,-14.469999999999999,甘肃能源,水力发电,1997-10-14,2020-01-09,,,,False,cross_sectional_90d_median,50.355000000000004,-64.825,0.0,fallback_zero,4,,水力发电_4,,-14.469999999999999,,481.394909548882,-0.03005848153558566,-0.03005848153558566,guidance_initial,0
000058.SZ,2020-01-10,2019-12-31,预增,133.37,133.37,6500.0,6500.0,2785.27,2020-01-10,预计净利润6500万,"本报告期内归属于上市公司股东的净利润较上年同期预计增长133.37%，主要原因如下：公司控股子公司深圳市赛格地产投资股份有限公司之控股子公司深圳市赛格新城市建设发展有限公司在2018年发生延期交楼、逾期办证导致的违约赔偿以及发生相关物业销售退回事项，使得2018年归属于上市公司股东的净利润减少，其中，上述违约赔偿属于非经常性损益，导致2018年归属于上市公司股东的净利润减少4,070.48万元。而以上事项在本报告期均未发生。",0,133.37,深赛格,商品城,1996-12-26,2020-01-13,,,,False,cross_sectional_90d_median,50.0625,83.3075,0.0,fallback_zero,4,,商品城_4,,133.37,,481.394909548882,0.2770490450864589,0.2770490450864589,guidance_initial,0
000090.SZ,2020-01-10,2019-12-31,预增,40.0,60.0,109420.0,125000.0,78157.77,2020-01-10,预计净利润109420-125000万,报告期业绩变动的主要原因是加强了建筑施工业务拓展影响建筑施工收入、利润增加；地产项目结转影响地产开发收入、利润增加。,0,50.0,天健集团,建筑工程,1999-07-21,2020-01-13,,,,False,cross_sectional_90d_median,50.0625,-0.0625,0.0,fallback_zero,4,,建筑工程_4,,50.0,,481.394909548882,0.10386482907942524,0.10386482907942524,guidance_initial,0
