ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_mv,circ_mv
000538.SZ,20260421,55.06,0.2494,0.5694,19.0631,19.0631,2.4533,2.3853,2.3853,9824149.8921,9761771.1352
000538.SZ,20260420,55.0,0.3797,0.8669,19.0423,19.0423,2.4507,2.3827,2.3827,9813444.3165,9751133.535
000538.SZ,20260417,55.29,0.3771,0.8612,19.1427,19.1427,2.4636,2.3952,2.3952,9865187.932,9802548.6027
000538.SZ,20260416,55.52,0.2768,0.632,19.2224,19.2224,2.4738,2.4052,2.4052,9906225.9719,9843326.0702
000538.SZ,20260415,55.72,0.4416,1.0084,19.2916,19.2916,2.4827,2.4138,2.4138,9941911.2239,9878784.7376
000538.SZ,20260414,55.05,0.2974,0.6791,19.0597,19.0597,2.4529,2.3848,2.3848,9822365.6295,9759998.2019
000538.SZ,20260413,54.73,0.4036,0.9215,18.9489,18.9489,2.4386,2.371,2.371,9765269.2262,9703264.334
000538.SZ,20260410,54.92,0.4277,0.9766,19.0146,19.0146,2.4471,2.3792,2.3792,9799170.2157,9736950.068
000538.SZ,20260409,55.1,0.3868,0.8832,19.077,19.077,2.4551,2.387,2.387,9831286.9425,9768862.8687
000538.SZ,20260408,55.94,0.4174,0.9532,19.3678,19.3678,2.4925,2.4234,2.4234,9981165.0012,9917789.2718
000538.SZ,20260407,55.91,0.3334,0.7613,19.3574,19.3574,2.4912,2.4221,2.4221,9975812.2134,9912470.4717
000538.SZ,20260403,56.46,0.4184,0.9553,19.5478,19.5478,2.5157,2.4459,2.4459,10073946.6565,10009981.807
000538.SZ,20260402,56.78,0.768,1.7536,19.6586,19.6586,2.53,2.4598,2.4598,10131043.0598,10066715.6749
000538.SZ,20260401,55.57,0.5248,1.1983,19.2397,19.2397,2.4761,2.4073,2.4073,9915147.2849,9852190.7371
000538.SZ,20260331,54.86,0.3106,0.7094,20.6098,18.8247,2.4635,2.4451,2.4008,9788464.6401,9725548.5094
000538.SZ,20260330,54.75,0.3074,0.7021,20.5685,18.7869,2.4586,2.4402,2.3959,9768837.7514,9706047.7742
000538.SZ,20260327,54.4,0.3251,0.7423,20.437,18.6668,2.4429,2.4246,2.3806,9706388.5603,9643999.9802
000538.SZ,20260326,54.26,0.5224,1.1931,20.3844,18.6188,2.4366,2.4183,2.3745,9681408.8839,9619180.8626
000538.SZ,20260325,55.39,0.2937,0.6706,20.8089,19.0065,2.4873,2.4687,2.424,9883030.558,9819506.5974
000538.SZ,20260324,55.49,0.3708,0.8468,20.8465,19.0408,2.4918,2.4732,2.4283,9900873.184,9837234.5386
000538.SZ,20260323,54.94,0.8893,2.0309,20.6399,18.8521,2.4671,2.4486,2.4043,9802738.7409,9739730.8623
000538.SZ,20260320,56.74,0.4862,1.1104,21.3161,19.4698,2.548,2.5289,2.483,10123906.0094,10058833.8028
000538.SZ,20260319,56.73,0.3289,0.751,21.3124,19.4663,2.5475,2.5284,2.4826,10122121.7468,10057061.0087
000538.SZ,20260318,56.86,0.2941,0.6715,21.3612,19.5109,2.5533,2.5342,2.4883,10145317.1607,10080107.3322
000538.SZ,20260317,57.09,0.4979,1.137,21.4476,19.5899,2.5637,2.5445,2.4983,10186355.2005,10120881.5968
000538.SZ,20260316,56.79,0.4029,0.9201,21.3349,19.4869,2.5502,2.5311,2.4852,10132827.3224,10067697.7734
000538.SZ,20260313,56.3,0.2634,0.6015,21.1508,19.3188,2.5282,2.5093,2.4638,10045398.4549,9980830.8618
000538.SZ,20260312,56.3,0.4708,1.0751,21.1508,19.3188,2.5282,2.5093,2.4638,10045398.4549,9980830.8618
000538.SZ,20260311,56.7,0.3366,0.7687,21.3011,19.456,2.5462,2.5271,2.4813,10116768.959,10051742.6264
000538.SZ,20260310,56.5,0.3585,0.8186,21.2259,19.3874,2.5372,2.5182,2.4725,10081083.707,10016286.7441
000538.SZ,20260309,56.22,0.504,1.151,21.1208,19.2913,2.5246,2.5057,2.4603,10031124.3541,9966648.5089
000538.SZ,20260306,56.15,0.3084,0.7042,21.0945,19.2673,2.5215,2.5026,2.4572,10018634.5158,9954238.9501
000538.SZ,20260305,55.89,0.3418,0.7805,20.9968,19.1781,2.5098,2.491,2.4458,9972243.6882,9908146.3031
000538.SZ,20260304,55.43,0.5994,1.3689,20.824,19.0203,2.4891,2.4705,2.4257,9890167.6084,9826597.7739
000538.SZ,20260303,55.95,0.4899,1.1187,21.0193,19.1987,2.5125,2.4937,2.4485,9982949.2638,9918783.0678
000538.SZ,20260302,56.01,0.4032,0.9208,21.0419,19.2193,2.5152,2.4963,2.4511,9993654.8394,9929419.8325
000538.SZ,20260227,56.05,0.3331,0.7607,21.0569,19.233,2.517,2.4981,2.4528,10000791.8898,9936511.009
000538.SZ,20260226,56.25,0.3014,0.6883,21.132,19.3016,2.526,2.507,2.4616,10036477.1419,9971966.8913
000538.SZ,20260225,56.54,0.3341,0.763,21.241,19.4011,2.539,2.52,2.4743,10088220.7574,10023377.9206
000538.SZ,20260224,56.61,0.3271,0.747,21.2673,19.4252,2.5421,2.5231,2.4773,10100710.5956,10035787.4794
000538.SZ,20260213,56.5,0.3533,0.8069,21.2259,19.3874,2.5372,2.5182,2.4725,10081083.707,10016286.7441
000538.SZ,20260212,56.74,0.4207,0.9608,21.3161,19.4698,2.548,2.5289,2.483,10123906.0094,10058833.8028
000538.SZ,20260211,57.21,0.2664,0.6084,21.4927,19.631,2.5691,2.5498,2.5036,10207766.3518,10142155.1262
000538.SZ,20260210,57.25,0.3584,0.8184,21.5077,19.6448,2.5709,2.5516,2.5054,10214903.4022,10149246.3027
000538.SZ,20260209,57.33,0.5052,1.1537,21.5378,19.6722,2.5745,2.5552,2.5089,10229177.503,10163428.6556
000538.SZ,20260206,57.0,0.736,1.6808,21.4138,19.559,2.5596,2.5405,2.4944,10170296.8371,10104926.4498
000538.SZ,20260205,57.13,0.8095,1.8485,21.4626,19.6036,2.5655,2.5463,2.5001,10193492.2509,10127972.7733
000538.SZ,20260204,56.35,0.4753,1.0853,21.1696,19.3359,2.5304,2.5115,2.466,10054319.7679,9989694.8324
000538.SZ,20260203,56.0,0.3897,0.89,21.0381,19.2158,2.5147,2.4959,2.4506,9991870.5768,9927647.0384
000538.SZ,20260202,55.51,0.5044,1.152,20.854,19.0477,2.4927,2.4741,2.4292,9904441.7093,9840780.1268
000538.SZ,20260130,55.61,0.5101,1.165,20.8916,19.082,2.4972,2.4785,2.4336,9922284.3353,9858508.068
000538.SZ,20260129,56.1,0.9255,2.1135,21.0757,19.2502,2.5192,2.5003,2.455,10009713.2028,9945374.9795
000538.SZ,20260128,55.62,0.7031,1.6056,20.8953,19.0855,2.4977,2.479,2.434,9924068.5979,9860280.8621
000538.SZ,20260127,56.68,0.7424,1.6953,21.2936,19.4492,2.5453,2.5262,2.4804,10113200.4338,10048197.0382
000538.SZ,20260126,56.17,0.6162,1.4071,21.102,19.2742,2.5224,2.5035,2.4581,10022203.0411,9957784.5383
000538.SZ,20260123,56.15,0.7515,1.7162,21.0945,19.2673,2.5215,2.5026,2.4572,10018634.5158,9954238.9501
000538.SZ,20260122,56.65,0.391,0.893,21.2823,19.4389,2.5439,2.5249,2.4791,10107847.646,10042878.6558
000538.SZ,20260121,56.7,0.5635,1.2869,21.3011,19.456,2.5462,2.5271,2.4813,10116768.959,10051742.6264
000538.SZ,20260120,57.19,0.7672,1.752,21.4852,19.6242,2.5682,2.5489,2.5027,10204197.8266,10138609.538
000538.SZ,20260119,56.22,0.4461,1.0187,21.1208,19.2913,2.5246,2.5057,2.4603,10031124.3541,9966648.5089
000538.SZ,20260116,56.2,0.5084,1.1609,21.1132,19.2845,2.5237,2.5048,2.4594,10027555.8289,9963102.9207
000538.SZ,20260115,56.42,0.4087,0.9334,21.1959,19.36,2.5336,2.5146,2.469,10066809.6061,10002104.3912
000538.SZ,20260114,56.64,0.6667,1.5225,21.2785,19.4355,2.5435,2.5244,2.4787,10106063.3834,10041105.8617
000538.SZ,20260113,57.13,0.5894,1.346,21.4626,19.6036,2.5655,2.5463,2.5001,10193492.2509,10127972.7733
