ts_code,trade_date,total_mv,pb,pe_ttm
002098.SZ,20260416,322916.0,2.2198,16.3864
002098.SZ,20260415,319336.0,2.1952,16.2048
002098.SZ,20260414,322200.0,2.2149,16.3501
002098.SZ,20260413,321484.0,2.21,16.3138
002098.SZ,20260410,322558.0,2.2173,16.3683
002098.SZ,20260409,320052.0,2.2001,16.2411
002098.SZ,20260408,327212.0,2.2493,16.6044
002098.SZ,20260407,321484.0,2.21,16.3138
002098.SZ,20260403,312176.0,2.146,15.8414
002098.SZ,20260402,320052.0,2.2001,16.2411
002098.SZ,20260401,326854.0,2.2469,16.5863
002098.SZ,20260331,324706.0,2.2321,16.4773
002098.SZ,20260330,326496.0,2.2444,16.5681
002098.SZ,20260327,323990.0,2.2272,16.4409
002098.SZ,20260326,320410.0,2.2026,16.2593
002098.SZ,20260325,324348.0,2.2297,16.4591
002098.SZ,20260324,316830.0,2.178,16.0776
002098.SZ,20260323,304658.0,2.0943,15.4599
002098.SZ,20260320,322558.0,2.2173,16.3683
002098.SZ,20260319,328644.0,2.2592,16.6771
002098.SZ,20260318,340458.0,2.3404,17.2766
002098.SZ,20260317,336162.0,2.3109,17.0586
002098.SZ,20260316,345828.0,2.3773,17.5491
002098.SZ,20260313,339384.0,2.333,17.2221
002098.SZ,20260312,339742.0,2.3355,17.2403
002098.SZ,20260311,339742.0,2.3355,17.2403
002098.SZ,20260310,344396.0,2.3675,17.4764
002098.SZ,20260309,337236.0,2.3182,17.1131
002098.SZ,20260306,344038.0,2.365,17.4583
002098.SZ,20260305,339384.0,2.333,17.2221
002098.SZ,20260304,337594.0,2.3207,17.1313
002098.SZ,20260303,339026.0,2.3306,17.2039
002098.SZ,20260302,346544.0,2.3822,17.5854
002098.SZ,20260227,360864.0,2.4807,18.3121
002098.SZ,20260226,362654.0,2.493,18.4029
002098.SZ,20260225,360506.0,2.4782,18.2939
002098.SZ,20260224,361938.0,2.4881,18.3666
002098.SZ,20260213,354778.0,2.4388,18.0033
002098.SZ,20260212,358000.0,2.461,18.1668
002098.SZ,20260211,363012.0,2.4954,18.4211
002098.SZ,20260210,366234.0,2.5176,18.5846
002098.SZ,20260209,373752.0,2.5693,18.9661
002098.SZ,20260206,373036.0,2.5643,18.9298
002098.SZ,20260205,380554.0,2.616,19.3113
002098.SZ,20260204,375184.0,2.5791,19.0388
002098.SZ,20260203,373036.0,2.5643,18.9298
002098.SZ,20260202,369814.0,2.5422,18.7663
002098.SZ,20260130,377332.0,2.5939,19.1478
002098.SZ,20260129,375542.0,2.5816,19.0569
002098.SZ,20260128,369098.0,2.5373,18.7299
002098.SZ,20260127,374110.0,2.5717,18.9843
002098.SZ,20260126,382344.0,2.6283,19.4021
002098.SZ,20260123,384492.0,2.6431,19.5111
002098.SZ,20260122,384850.0,2.6456,19.5293
002098.SZ,20260121,372320.0,2.5594,18.8934
002098.SZ,20260120,370530.0,2.5471,18.8026
002098.SZ,20260119,372320.0,2.5594,18.8934
002098.SZ,20260116,368740.0,2.5348,18.7118
002098.SZ,20260115,379122.0,2.6062,19.2386
002098.SZ,20260114,389146.0,2.6751,19.7473
002098.SZ,20260113,394874.0,2.7145,20.038
002098.SZ,20260112,394874.0,2.7145,20.038
002098.SZ,20260109,361222.0,2.4831,18.3303
002098.SZ,20260108,356210.0,2.4487,18.0759
002098.SZ,20260107,354778.0,2.4388,18.0033
002098.SZ,20260106,353346.0,2.429,17.9306
002098.SZ,20260105,352988.0,2.4265,17.9124
002098.SZ,20251231,351556.0,2.4167,17.8398
002098.SZ,20251230,357642.0,2.4585,18.1486
002098.SZ,20251229,366592.0,2.52,18.6028
002098.SZ,20251226,378048.0,2.5988,19.1841
002098.SZ,20251225,385566.0,2.6505,19.5656
002098.SZ,20251224,375900.0,2.584,19.0751
002098.SZ,20251223,383060.0,2.6333,19.4384
002098.SZ,20251222,348334.0,2.3945,17.6763
002098.SZ,20251219,360864.0,2.4807,18.3121
002098.SZ,20251218,345828.0,2.3773,17.5491
002098.SZ,20251217,342606.0,2.3552,17.3856
002098.SZ,20251216,349408.0,2.4019,17.7308
002098.SZ,20251215,357642.0,2.4585,18.1486
002098.SZ,20251212,354420.0,2.4364,17.9851
002098.SZ,20251211,365160.0,2.5102,18.5301
002098.SZ,20251210,395590.0,2.7194,20.0743
002098.SZ,20251209,388430.0,2.6702,19.711
002098.SZ,20251208,383060.0,2.6333,19.4384
002098.SZ,20251205,373394.0,2.5668,18.9479
002098.SZ,20251204,376258.0,2.5865,19.0933
002098.SZ,20251203,363012.0,2.4954,18.4211
002098.SZ,20251202,358716.0,2.4659,18.2031
002098.SZ,20251201,350840.0,2.4118,17.8034
002098.SZ,20251128,347976.0,2.3921,17.6581
002098.SZ,20251127,347260.0,2.3872,17.6218
002098.SZ,20251126,352272.0,2.4216,17.8761
002098.SZ,20251125,360864.0,2.4807,18.3121
002098.SZ,20251124,327928.0,2.2543,16.6408
002098.SZ,20251121,322200.0,2.2149,16.3501
002098.SZ,20251120,339026.0,2.3306,17.2039
002098.SZ,20251119,341890.0,2.3502,17.3493
002098.SZ,20251118,346902.0,2.3847,17.6036
002098.SZ,20251117,352988.0,2.4265,17.9124
002098.SZ,20251114,345112.0,2.3724,17.5128
002098.SZ,20251113,345828.0,2.3773,17.5491
002098.SZ,20251112,337952.0,2.3232,17.1494
002098.SZ,20251111,332224.0,2.2838,16.8588
002098.SZ,20251110,330792.0,2.274,16.7861
002098.SZ,20251107,327212.0,2.2493,16.6044
002098.SZ,20251106,325422.0,2.237,16.5136
002098.SZ,20251105,327570.0,2.2518,16.6226
002098.SZ,20251104,325064.0,2.2346,16.4954
002098.SZ,20251103,318620.0,2.1903,16.1684
002098.SZ,20251031,316830.0,2.178,16.0776
002098.SZ,20251030,311818.0,2.1435,15.8233
002098.SZ,20251029,317546.0,2.1829,16.1139
002098.SZ,20251028,323632.0,2.2247,16.4228
002098.SZ,20251027,320768.0,2.2723,15.754
002098.SZ,20251024,317546.0,2.2495,15.5957
002098.SZ,20251023,320410.0,2.2698,15.7364
002098.SZ,20251022,317904.0,2.252,15.6133
002098.SZ,20251021,317188.0,2.247,15.5781
002098.SZ,20251020,312176.0,2.2115,15.332
002098.SZ,20251017,308596.0,2.1861,15.1562
002098.SZ,20251016,312892.0,2.2165,15.3671
002098.SZ,20251015,320410.0,2.2698,15.7364
002098.SZ,20251014,317188.0,2.247,15.5781
002098.SZ,20251013,317546.0,2.2495,15.5957
002098.SZ,20251010,325064.0,2.3028,15.965
002098.SZ,20251009,314682.0,2.2292,15.4551
002098.SZ,20250930,312176.0,2.2115,15.332
002098.SZ,20250929,314682.0,2.2292,15.4551
002098.SZ,20250926,316830.0,2.2444,15.5606
002098.SZ,20250925,316830.0,2.2444,15.5606
002098.SZ,20250924,318262.0,2.2546,15.6309
002098.SZ,20250923,309670.0,2.1937,15.2089
002098.SZ,20250922,314682.0,2.2292,15.4551
002098.SZ,20250919,316830.0,2.2444,15.5606
002098.SZ,20250918,317546.0,2.2495,15.5957
002098.SZ,20250917,323632.0,2.2926,15.8946
002098.SZ,20250916,327212.0,2.318,16.0705
002098.SZ,20250915,325422.0,2.3053,15.9825
002098.SZ,20250912,329718.0,2.3357,16.1935
002098.SZ,20250911,335446.0,2.3763,16.4748
002098.SZ,20250910,334372.0,2.3687,16.4221
002098.SZ,20250909,332940.0,2.3586,16.3518
002098.SZ,20250908,339026.0,2.4017,16.6507
002098.SZ,20250905,335446.0,2.3763,16.4748
002098.SZ,20250904,332582.0,2.356,16.3342
002098.SZ,20250903,324706.0,2.3002,15.9474
002098.SZ,20250902,334730.0,2.3712,16.4397
002098.SZ,20250901,343680.0,2.4346,16.8792
002098.SZ,20250829,335804.0,2.3788,16.4924
002098.SZ,20250828,343680.0,2.5664,15.8303
002098.SZ,20250827,348692.0,2.6038,16.0611
002098.SZ,20250826,356568.0,2.6627,16.4239
002098.SZ,20250825,350840.0,2.6199,16.1601
002098.SZ,20250822,351198.0,2.6226,16.1765
002098.SZ,20250821,357642.0,2.6707,16.4734
002098.SZ,20250820,352630.0,2.6332,16.2425
002098.SZ,20250819,355494.0,2.6546,16.3744
