ts_code,ann_date,end_date,n_income_attr_p,basic_eps,diluted_eps,actual_earnings
000048.SZ,20260410,20251231,152808661.82,0.2965,0.2958,152808661.82
000048.SZ,20251029,20250930,297861607.49,0.5655,0.5642,297861607.49
000048.SZ,20250823,20250630,226097589.23,0.4292,0.4261,226097589.23
000048.SZ,20250425,20250331,112031779.68,0.2127,0.2124,112031779.68
000048.SZ,20250331,20241231,713795295.65,1.377,1.3756,713795295.65
000048.SZ,20241031,20240930,601798618.36,1.1562,1.1531,601798618.36
000048.SZ,20240827,20240630,235452029.88,0.45,0.443,235452029.88
000048.SZ,20240430,20240331,54125149.43,0.1034,0.1127,54125149.43
000048.SZ,20240320,20231231,1746300186.67,3.3375,3.3314,1746300186.67
000048.SZ,20231031,20230930,1257946185.35,2.4042,2.4042,1257946185.35
000048.SZ,20230819,20230630,1284690162.11,2.4553,2.4553,1284690162.11
000048.SZ,20230429,20230331,1219766615.49,2.3312,2.3312,1219766615.49
000048.SZ,20230315,20221231,773073916.59,1.4775,1.4775,773073916.59
000048.SZ,20230315,20221231,773073916.59,1.4775,1.4775,773073916.59
000048.SZ,20221031,20220930,-46673280.7,-0.0892,-0.0892,-46673280.7
000048.SZ,20220825,20220630,-184210820.93,-0.3521,-0.3521,-184210820.93
000048.SZ,20220427,20220331,-141770640.19,-0.2709,-0.2709,-141770640.19
000048.SZ,20220316,20211231,389339568.12,0.7441,0.7441,389339568.12
000048.SZ,20220316,20211231,389339568.12,0.7441,0.7441,389339568.12
000048.SZ,20211029,20210930,376405000.29,0.7194,0.7194,376405000.29
000048.SZ,20211029,20210930,376405000.29,0.7194,0.7194,376405000.29
000048.SZ,20210830,20210630,489431861.25,0.9354,0.9354,489431861.25
000048.SZ,20210429,20210331,405613994.59,1.0078,1.0078,405613994.59
000048.SZ,20210326,20201231,866563499.3,2.153,2.153,866563499.3
000048.SZ,20210326,20201231,866563499.3,2.153,2.153,866563499.3
000048.SZ,20201031,20200930,165879175.72,0.4121,0.4121,165879175.72
000048.SZ,20201031,20200930,165879175.72,0.4121,0.4121,165879175.72
000048.SZ,20200828,20200630,138093760.86,0.3431,0.3431,138093760.86
000048.SZ,20200828,20200630,138093760.86,0.3431,0.3431,138093760.86
000048.SZ,20200430,20200331,59393932.19,0.1476,0.1476,59393932.19
000048.SZ,20200430,20200331,59393932.19,0.1476,0.1476,59393932.19
000048.SZ,20200430,20191231,1100831801.48,2.735,2.735,1100831801.48
000048.SZ,20200430,20191231,1100831801.48,2.735,2.735,1100831801.48
000048.SZ,20191031,20190930,299744880.41,0.7671,0.7671,299744880.41
000048.SZ,20190831,20190630,149692595.48,0.3831,0.3831,149692595.48
000048.SZ,20190831,20190630,149692595.48,0.3831,0.3831,149692595.48
000048.SZ,20190430,20190331,110883146.4,0.2838,0.2838,110883146.4
000048.SZ,20190415,20181231,437394982.71,1.1193,1.1193,437394982.71
000048.SZ,20190415,20181231,437394982.71,1.1193,1.1193,437394982.71
