ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps,diluted_roe,yoy_net_profit,bps,open_net_assets,open_bps,perf_summary,update_flag
601231.SH,20250710,20250630,27213701293.6,,,,,,,,,,,,,0
600729.SH,20250711,20250630,8041579837.82,854005614.31,857497022.24,773814788.36,19675638894.55,7649836463.98,1.76,9.84,711616493.24,,,,,0
603122.SH,20250711,20250630,367658200.0,,,,,,,,,,,,,0
601139.SH,20250712,20250630,15431550000.0,876660000.0,884460000.0,637680000.0,46723470000.0,15740690000.0,0.22,4.02,738130000.0,,,,,0
002911.SZ,20250712,20250630,15337872765.09,541608445.44,541036462.91,309283657.41,19916485308.13,8382921506.58,0.2,5.28,288709785.16,,,,,0
002028.SZ,20250712,20250630,8496879187.48,1527768708.76,1528112498.13,1292697963.66,25290111020.57,13376205830.35,1.66,9.89,887142401.72,,,,,0
001395.SZ,20250714,20250630,375907600.0,107873900.0,112851800.0,98487600.0,2143808500.0,1108693600.0,1.13,9.36,81682800.0,,,,,0
600909.SH,20250714,20250630,2807680800.0,1339028500.0,1338207000.0,1035135500.0,102122904800.0,23106169200.0,0.22,4.52,714193300.0,,,,,0
605016.SH,20250714,20250630,649761200.0,201320200.0,200890000.0,170589700.0,2322225000.0,1804594800.0,0.41,9.67,119562300.0,,,,,0
600428.SH,20250715,20250630,10775154000.0,1329507600.0,1326367000.0,824929300.0,41807090400.0,16174429600.0,0.337,5.59,729496700.0,,,,,0
600048.SH,20250715,20250630,116796923100.0,9825588500.0,9929387400.0,2734530600.0,1298394542400.0,200238461700.0,0.23,1.37,7419875300.0,,,,,0
000728.SZ,20250715,20250630,3396624400.0,1740744700.0,1723318200.0,1404668300.0,177203619900.0,37952166000.0,0.32,3.73,1000169300.0,,,,,0
600995.SH,20250716,20250630,3282965800.0,1231587200.0,1229926200.0,801950700.0,54262493400.0,21961646100.0,0.25,3.69,626222900.0,,,,,0
603053.SH,20250716,20250630,2824620400.0,330544500.0,340062600.0,276454600.0,8803709300.0,4685081900.0,0.311,5.74,273958200.0,,,,,0
300824.SZ,20250716,20250630,431806900.0,64856800.0,64816700.0,55828800.0,1022636900.0,721310000.0,0.1721,7.83,31917600.0,,,,,0
688252.SH,20250717,20250630,1208151900.0,164720000.0,164528300.0,152374200.0,2761512400.0,2307500400.0,0.38,6.78,100983800.0,,,,,0
600549.SH,20250718,20250630,19177935900.0,1706545300.0,1690135000.0,971767300.0,47113918400.0,16271652700.0,0.6121,5.96,1016603100.0,,,,,0
600101.SH,20250718,20250630,1523533900.0,91233300.0,90408700.0,73415200.0,4163092200.0,2998091900.0,0.134,2.42,84813900.0,,,,,0
601958.SH,20250718,20250630,6958959000.0,1818880200.0,1818935100.0,1379618600.0,21921896700.0,18449233500.0,0.428,7.77,1506914000.0,,,,,0
002039.SZ,20250718,20250630,883288624.53,277758541.16,278152721.63,127158591.31,15534712638.64,4019056589.08,0.2974,3.2,133213125.43,,,,,0
600710.SH,20250718,20250630,55101441100.0,2127394400.0,2170358200.0,645830300.0,57093259400.0,7769502200.0,0.49,8.31,573480200.0,,,,,0
600926.SH,20250718,20250630,20093000000.0,13368000000.0,13371000000.0,11662000000.0,2235595000000.0,160536000000.0,1.75,9.5,9996000000.0,,,,,0
600131.SH,20250718,20250630,3524689200.0,320175500.0,319016300.0,266440800.0,14543531100.0,6154775300.0,0.22,3.3,298781800.0,,,,,0
600420.SH,20250718,20250630,4877673521.93,920163725.85,924926954.05,672066877.31,19658833692.75,13643330466.99,0.5011,4.96,718477263.45,,,,,0
601952.SH,20250719,20250630,4588177200.0,232182300.0,232177000.0,213188500.0,14634136000.0,6788298200.0,0.15,3.08,294948400.0,,,,,0
601633.SH,20250719,20250630,92367000000.0,6862000000.0,7004000000.0,6337000000.0,222448000000.0,84447000000.0,0.74,7.56,7058000000.0,,,,,0
000563.SZ,20250721,20250630,1366801200.0,968725400.0,967640200.0,725609400.0,26789833000.0,18357423000.0,0.1419,3.99,686189500.0,,,,,0
688778.SH,20250722,20250630,7533703500.0,340857200.0,339060900.0,306894600.0,15852877700.0,8861766700.0,0.73,3.44,240206800.0,,,,,0
601128.SH,20250722,20250630,6062000000.0,2440000000.0,2458000000.0,1969000000.0,401251000000.0,,0.59,13.33,1734000000.0,,,,,0
603031.SH,20250723,20250630,2427674200.0,564455000.0,565724000.0,106546000.0,6491805400.0,1891678000.0,0.5,5.72,93146900.0,,,,,0
000550.SZ,20250723,20250630,18092386210.0,816194334.0,817684775.0,732728047.0,31031239311.0,11240231455.0,0.85,6.3,895480117.0,,,,,0
002032.SZ,20250724,20250630,11477500800.41,1171798428.07,1171672419.93,939913794.13,11625215477.44,5118520351.62,1.18,15.3,940593117.65,,,,,0
601878.SH,20250725,20250630,6512485890.31,1545966248.3,1551591952.26,1149413823.33,199150622783.28,35945016024.6,0.25,3.21,784352341.09,,,,,0
600644.SH,20250725,20250630,1623391400.0,12905400.0,11994900.0,7903100.0,4563115500.0,2048195200.0,0.0139,0.41,9248700.0,,,,,0
000156.SZ,20250725,20250630,4435205400.0,257511000.0,259044400.0,253986800.0,29718411200.0,15192152700.0,0.137,1.69,242745000.0,,,,,0
002801.SZ,20250724,20250630,750453700.0,199396900.0,199184200.0,172404400.0,2161728300.0,1753596900.0,0.75,10.04,154878400.0,,,,,0
002142.SZ,20250725,20250630,37160000000.0,16117000000.0,16052000000.0,14772000000.0,3470332000000.0,244789000000.0,2.24,13.8,13649000000.0,,,,,0
002116.SZ,20250725,20250630,2744749125.68,184614182.47,182702244.76,152265534.32,6370054422.99,2559697580.2,0.33,5.96,140304848.07,,,,,0
600483.SH,20250726,20250630,6369245484.45,1996379271.31,2005516509.92,1336697866.92,53525560527.83,25799692379.35,0.48,5.23,1188386222.17,,,,,0
600170.SH,20250726,20250630,105042000000.0,1085000000.0,1088000000.0,710000000.0,356594000000.0,45891000000.0,0.05,1.39,826000000.0,,,,,0
601888.SH,20250726,20250630,28150750000.0,3707988500.0,3663479200.0,2599752900.0,75152027900.0,55198579800.0,1.2566,4.65,3282896500.0,,,,,0
002158.SZ,20250726,20250630,1488837616.11,270575242.08,270630180.43,257359767.42,6166043098.03,4290762405.31,0.4813,5.99,450724131.03,,,,,0
601665.SH,20250726,20250630,6781679000.0,2753103000.0,2754688000.0,2734365000.0,751305135000.0,50301166000.0,0.54,12.8,2347397000.0,,,,,0
002233.SZ,20250726,20250630,2056248002.47,553967603.08,549295663.0,435396878.41,13142080205.99,11885598288.3,0.37,3.63,226215063.52,,,,,0
600439.SH,20250728,20250630,597940661.47,10513273.15,10408859.02,9375879.76,4632708481.74,2631007119.06,0.01,0.36,8131103.46,,,,,0
603338.SH,20250728,20250630,4336118300.0,1261135600.0,1261476400.0,1050990000.0,16595367600.0,10576005900.0,2.08,10.03,824377000.0,,,,,0
601231.SH,20250729,20250630,27213701293.6,750474848.02,733481126.28,638048458.19,39780975685.83,18487744148.92,0.29,3.48,784403787.3,,,,,0
002287.SZ,20250729,20250630,1175031545.29,416710928.53,399917158.99,358060664.37,6837219961.11,4036118607.27,0.6749,8.58,325685757.0,,,,,0
301175.SZ,20250729,20250630,848199600.0,241987400.0,241567600.0,196264000.0,7991289200.0,3593549500.0,0.1333,5.37,163792100.0,,,,,0
000970.SZ,20250729,20250630,2922028115.9,101830398.46,101597575.01,43993100.0,9888642827.23,6460190577.95,0.0366,0.68,-72337667.1,,,,,0
002140.SZ,20250731,20250630,4783647091.7,289745305.87,287069081.23,240233525.49,16727370408.27,4492951554.58,0.3395,5.37,209563522.56,,,,,0
600863.SH,20250731,20250630,9826784300.0,2268798700.0,2266238400.0,1557031800.0,40701640300.0,18112057000.0,0.23,8.91,1767584700.0,,,,,0
600900.SH,20250731,20250630,36587000000.0,15872000000.0,15464000000.0,12984000000.0,567104000000.0,206145000000.0,0.5307,6.06,11368000000.0,,,,,0
002948.SZ,20250801,20250630,7662414000.0,3604021000.0,3608358000.0,3064683000.0,743027546000.0,46078064000.0,0.53,15.75,2640917000.0,,,,,0
002111.SZ,20250805,20250630,1424501487.29,93469380.8,92914472.98,83323638.58,6712492550.4,3148389303.17,0.16,2.64,107385580.43,,,,,0
601880.SH,20250805,20250630,5692674700.0,1440758000.0,1444499800.0,955747300.0,57731364900.0,40050423300.0,0.04,2.38,453443300.0,,,,,0
836892.BJ,20250805,20250630,247156656.88,,53237180.9,46137663.28,771109662.96,377879238.02,0.27,10.67,43070187.62,,,,,0
603019.SH,20250806,20250630,5854101128.03,818630773.7,812390102.05,731477515.37,36638814996.87,20824691637.16,0.501,3.54,563158665.42,,,,,0
603699.SH,20250806,20250630,3404288200.0,754111900.0,753292900.0,636751800.0,8880567700.0,4119286400.0,0.83,13.67,488027600.0,,,,,0
600161.SH,20250807,20250630,3110393000.0,1041961700.0,1038370200.0,632562100.0,16521817000.0,11573529400.0,0.32,5.54,726087900.0,,,,,0
600000.SH,20250807,20250630,90559000000.0,33498000000.0,33138000000.0,29737000000.0,9645791000000.0,792855000000.0,0.99,4.33,26988000000.0,,,,,0
688235.SH,20250807,20250630,17518269000.0,798940000.0,796767000.0,449784000.0,44872354000.0,26855799000.0,0.32,1.76,-2877389000.0,,,,,0
002378.SZ,20250808,20250630,2406042644.61,137328795.94,135565034.02,115106176.49,5261303690.69,2163407524.85,0.1,5.29,112257317.33,,,,,0
300931.SZ,20250807,20250630,156498800.0,-22132200.0,-22083300.0,-17892300.0,986830800.0,614939600.0,-0.0745,-2.87,125000.0,,,,,0
301329.SZ,20250807,20250630,438277900.0,42343500.0,41111900.0,33094800.0,1854839900.0,1553906200.0,0.19,2.09,37178400.0,,,,,0
001400.SZ,20250809,20250630,494357379.08,59864718.41,59501567.02,49555054.89,1898641748.7,1262106999.71,0.9911,5.47,83610053.22,,,,,0
300979.SZ,20250808,20250630,12660864400.0,2165951200.0,2152944600.0,1663817700.0,25475032600.0,16147701800.0,1.43,9.41,1878347800.0,,,,,0
600390.SH,20250809,20250630,3330247455.83,770664894.94,759048496.43,525451990.13,149488380950.19,47432378456.9,0.08,0.83,897793505.0,,,,,0
300857.SZ,20250811,20250630,4943984300.0,494958800.0,494744300.0,456807500.0,15043574200.0,3623879100.0,1.33,13.18,357780200.0,,,,,0
000028.SZ,20250815,20250630,36796598400.0,926496500.0,918113300.0,665907300.0,50426135800.0,18136171800.0,1.2,3.7,743487200.0,,,,,0
