ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
000532.SZ,20260417,20251231,0.4741,0.4741,1.4352,1.4352,0.0742,0.303,3.3054,2892296.04,160550278.71,224311887.27,1.4234,1.3425,1.3185,4.5695,0.9446,1.1745,0.2111,105432107.34,246023707.3,298918155.48,125705682.2898,18430140.2498,291720536.37,37861823.2,322067545.87,-25474102.14,1462505816.44,187925438.93,-105901144.11,1990399199.18,1243835459.44,0.4741,4.7228,0.5071,3.6084,0.4495,0.7137,0.3647,0.0535,34.772,45.3421,54.6579,19.3201,34.772,1.005,15.0714,3.2437,-3.0675,78.6881,46.8508,49.7308,10.4988,10.5,10.313,10.4971,7.3396,9.0614,10.4988,10.4971,28.0886,1.3906,1.5055,27.2311,72.7689,63.0395,16.1811,81.7922,68.1088,31.8912,0.3938,0.3906,2.4983,5.0548,2.2443,4.541,,0.2682,122.6498,7.3396,6.9736,659181325.93,46.6032,-0.1955,74.0014,3.7478,3.8118,2.6006,11.1905,4.4043,4.4043,-2.3493,-12.7239,-13.1206,4.4117,7.06,-2.3511,-4.723,9.5879,-2.0061,9.5875,1.8206,1.8206,-21.6962,-13.1873,9.5875
000532.SZ,20251029,20250930,0.3004,0.3004,1.0135,1.0135,0.0742,0.3013,3.1333,3914591.98,99633241.5,155155375.71,1.2718,1.2093,1.1906,3.0354,0.611,0.8163,0.1471,67647510.21,159119405.92,,92281582.0479,56245629.2679,348501642.61,27768788.29,396719827.45,-15428813.31,1391391470.72,155536654.83,-154294572.47,2005137831.98,1183940718.17,0.3004,4.5495,0.4599,3.4346,0.6413,0.4616,0.2677,0.1632,31.7388,44.4091,55.5909,19.9282,31.7388,1.5044,15.4309,2.9929,-3.6709,80.6377,42.5633,45.5437,6.7816,6.74,6.5252,6.7013,4.6701,5.8326,9.0421,8.9351,32.4594,1.4806,1.5551,30.5642,69.4358,58.4273,19.7852,78.2109,74.04,25.96,0.277,0.4806,2.0288,3.953,1.8,3.5072,,0.2051,134.6473,6.2268,4.3609,666598812.94,42.5872,1.4554,76.0449,4.383,4.1484,3.0064,5.2619,185.5513,185.5513,32.7273,267.2639,271.2815,185.6246,202.83,32.7505,148.5882,5.5666,0.5885,5.565,16.3571,16.3571,11.5608,2017.086,14.8987
000532.SZ,20250828,20250630,0.1053,0.1053,0.6777,0.6777,0.0742,0.3013,2.9382,313126.11,35972712.43,104455998.09,0.8878,0.8332,0.8164,2.1597,0.4815,0.5456,0.0969,39911893.97,60466994.69,87056406.05,125603302.0505,123106938.5305,367252169.01,14678433.99,433056738.98,125136661.03,1320228761.85,-70045220.34,-186065076.73,2071826496.2,1116678723.23,0.1053,4.3543,0.4422,3.2395,0.3475,0.1754,0.3644,0.3571,16.3561,44.7167,55.2833,20.6246,16.3561,1.5287,15.8319,3.264,-5.4903,82.9141,22.6966,25.8854,2.43,2.41,2.409,2.5084,1.5849,2.1023,4.86,5.0168,33.2139,1.4973,1.6143,22.5964,77.4036,53.8044,20.9022,72.4461,76.6278,23.3722,0.2441,0.4973,1.8417,3.466,1.6199,3.0486,10.5503,0.1871,128.0454,3.1698,1.5053,667873144.15,22.7648,1.2496,86.105,-0.0453,-0.0686,0.015,26.5304,21.0345,21.0345,36.6924,-22.3072,-21.876,20.9962,36.53,36.714,9.5373,1.0372,3.6444,1.0362,18.8906,18.8906,24.0352,-90.6805,10.4612
000532.SZ,20250828,20250630,0.1053,0.1053,0.6777,0.6777,0.0742,0.3013,2.9382,313126.11,35972712.43,104455998.09,0.8878,0.8332,0.7982,2.1597,0.4815,0.5456,0.0969,39911893.97,60466994.69,87056406.05,,,367252169.01,14678433.99,433056738.98,125136661.03,1320228761.85,-70045220.34,-120710569.4,2071826496.2,1116678723.23,0.1053,4.3543,0.4422,3.2395,0.3475,0.1754,,,16.3561,44.7167,55.2833,20.6246,16.3561,1.5287,15.8319,3.264,-5.4903,82.9141,22.6966,25.8854,2.43,2.41,2.409,2.5084,1.5849,2.1023,4.86,5.0168,33.2139,1.4973,1.6143,22.5964,77.4036,53.8044,20.9022,72.4461,76.6278,23.3722,0.2441,0.4973,1.8417,3.466,1.6199,3.0486,10.5503,0.1871,128.0454,3.1698,1.5053,667873144.15,22.7648,1.2496,86.105,-0.0453,-0.0686,0.015,26.5304,21.0345,21.0345,36.6924,-22.3072,-21.876,20.9962,36.53,36.714,9.5373,1.0372,3.6444,1.0362,18.8906,18.8906,24.0352,-90.6805,10.4612
000532.SZ,20250425,20250331,0.1073,0.1073,0.3237,0.3237,0.0742,0.3013,3.0002,-38306.54,37009100.59,49626396.64,0.8874,0.8441,0.8203,1.0505,0.2125,0.2596,0.0452,22959871.47,52514701.5,,87141873.2799,172694445.5199,372181142.58,12842362.18,523061304.99,129127466.25,1342023558.91,-80571032.1,-194078451.44,2183900580.88,1138046179.14,0.1073,4.4167,0.3484,3.3015,0.5974,0.1523,0.2528,0.501,33.9007,44.4704,55.5296,22.6272,33.9007,1.8338,17.0889,3.7045,,79.4256,43.4596,47.0586,2.4581,2.46,2.4607,2.1277,1.5327,1.9325,9.8324,8.5108,35.3488,1.5468,1.6411,24.7096,75.2904,52.2407,23.9508,69.7141,78.7747,21.2253,0.1679,0.5468,1.6766,2.9107,1.4779,2.5657,10.393,0.1322,129.9213,6.1308,1.4979,683826036.58,43.4015,1.8338,79.4256,2.4581,2.4607,1.5327,107.6034,-65.9581,-65.9581,-12.3963,-66.9194,-66.9678,-65.9709,-64.03,-12.4004,-67.3728,2.4851,8.509,2.4855,13.7334,13.7334,13.7334,-78.4524,4.2967
000532.SZ,20250327,20241231,0.4541,0.4541,1.4095,1.4095,0.0742,0.3013,2.8929,6568343.75,149968344.68,248491895.74,0.7546,0.7001,0.67,5.5354,1.2263,1.1426,0.2075,144472605.63,284197300.05,335604396.68,151997419.472,-15125280.528,295550762.8,10738083.91,438131336.94,250439052.94,1294306708.28,-135212892.56,-122583721.93,2061187157.22,1101075385.09,0.4541,4.3096,0.5193,3.1942,-0.1244,0.8245,0.4409,-0.0439,48.9371,51.1442,48.8558,18.9767,48.9371,0.8465,14.2976,3.8327,-1.0287,70.2649,54.6584,58.4931,11.0366,11.04,10.5735,12.1348,10.1523,12.4212,11.0366,12.1348,31.4436,1.4587,1.6512,17.5599,82.4401,54.6703,21.2563,72.0732,74.0091,25.9909,0.3249,0.4587,1.9956,3.3907,1.7387,2.9542,5.1682,0.2405,104.8436,10.1523,6.6839,689493376.79,54.6179,-0.1797,49.3606,8.4396,8.2139,8.362,32.1037,111.5044,111.5044,46.5293,208.0726,206.897,111.5277,128.39,46.5205,92.3837,9.95,2.1985,9.951,21.176,21.176,48.7657,911.0688,9.951
000532.SZ,20241025,20240930,0.1052,0.1052,0.8711,0.8711,0.0742,0.2938,2.5515,3351930.24,32901187.2,125678903.23,0.5815,0.5311,0.4996,3.869,0.8405,0.7268,0.1322,50484806.17,54731083.21,,55530268.55,-86800646.45,303124389.57,27577625.67,464643824.11,282624354.95,1161138463.14,-243086271.31,-147390280.14,1896507250.57,980791814.1,0.1052,3.9595,0.3465,2.8453,-0.1373,0.1588,0.1611,-0.2518,15.2079,41.8563,58.1437,22.9715,15.2079,1.4808,16.6052,4.8855,-0.4405,83.1865,13.485,18.2277,2.6696,2.65,2.4228,2.4091,2.0099,2.7815,3.5595,3.2121,35.7104,1.5555,1.673,15.1649,84.8351,52.1342,24.5,71.9684,73.0298,26.9702,0.2056,0.5555,1.7161,2.9375,1.4599,2.499,4.1084,0.1502,109.8371,2.6799,1.5957,680455116.89,13.3465,1.3273,79.4805,0.46,0.4812,0.3192,7.6299,-19.387,-19.387,86.6918,-22.642,-23.9977,-19.4164,-7.99,86.7117,-21.9408,1.018,-3.8565,1.0192,8.7133,8.7133,3.9662,64.5885,3.234
000532.SZ,20240828,20240630,0.087,0.087,0.57,0.57,0.0742,0.2938,2.5333,3641056.76,26348178.76,82849628.07,0.594,0.5546,0.5155,2.7798,0.4987,0.4736,0.0846,29188882.2,78098829.64,102375099.17,83973704.475,34390134.475,323548341.57,21697385.14,559128409.55,287668355.92,1190152243.41,-281156283.51,-183682643.16,1983906697.45,974527932.18,0.087,3.9419,0.3235,2.8271,0.1253,0.2266,0.2436,0.0998,19.5394,42.1671,57.8329,25.0336,19.5394,1.5618,18.4124,5.0594,-0.6698,85.144,34.7319,39.7492,2.2133,2.2,1.9446,3.3622,1.6528,2.1899,4.4266,6.7244,38.8285,1.6347,1.7143,17.6599,82.3401,51.0981,28.1832,68.4916,76.5703,23.4297,0.161,0.6347,1.5025,2.4302,1.316,2.1286,4.1372,0.1233,104.2032,3.3056,1.2911,683526218.95,34.6439,1.9132,85.5369,-5.5812,-5.4316,-3.0018,-25.9961,35.0932,35.0932,33.2921,195.5573,189.8307,35.1775,31.03,33.2626,29.26,0.5689,0.5442,0.5695,11.4002,11.4002,5.5519,-153.4531,4.578
000532.SZ,20240426,20240331,0.3152,0.3152,0.2846,0.2846,0.0742,0.2938,2.8265,5748815.93,102895693.76,41560709.37,0.5489,0.5147,0.4564,1.467,0.2666,0.2355,0.0414,14963015.76,152378132.05,,93928071.6658,-30863713.3342,361805936.19,35306704.67,484840678.85,265764026.71,1312851772.47,-295283522.47,-221557396.83,2022053566.36,1075589248.45,0.3152,4.2348,0.3977,3.1203,-0.0262,0.442,0.2725,-0.0895,111.7603,42.3574,57.6426,25.705,111.7603,1.2095,18.9695,5.5259,,84.7502,149.417,155.299,7.7303,7.73,7.3212,6.4353,4.6311,5.6125,30.9212,25.7412,36.4569,1.5737,1.6848,14.8533,85.1467,54.2688,23.9776,72.1922,74.2226,25.7774,0.2094,0.5737,1.6552,3.0108,1.4886,2.7078,4.9399,0.1554,97.0541,18.5244,4.5883,700526442.4,149.436,1.2095,84.7502,7.7303,7.3212,4.6311,139.705,639.9061,639.9061,35.9193,543.0685,541.2384,640.6139,695.38,35.8894,565.4864,8.0416,4.4298,8.0415,17.9515,17.9515,17.9515,332.967,11.2891
000532.SZ,20240327,20231231,0.2147,0.2147,1.1632,1.1632,0.0742,0.2938,2.5113,8341040.04,65661873.72,170292643.37,0.545,0.5124,0.4564,5.9959,0.913,0.9058,0.1682,53420723.37,114572144.02,159370230.36,71249905.5809,-126893341.9491,275366107.09,2294600.66,611337105.95,382995319.76,1199510354.26,-314500668.42,-127006869.53,2038886034.1,966944738.76,0.2147,3.9196,0.3544,2.8051,-0.3888,0.3324,0.2067,-0.3681,20.1106,42.4714,57.5286,27.0801,20.1106,0.8473,19.5589,6.6739,-0.5612,86.6767,21.4991,28.5746,5.5884,5.59,4.9585,4.8064,3.3827,5.1034,5.5884,4.8064,38.376,1.6227,1.8001,16.2613,83.7387,51.7801,29.9839,66.2673,77.7507,22.2493,0.1768,0.6227,1.5198,2.2101,1.3493,1.9621,3.1319,0.1374,95.0121,3.3827,3.1045,697214285.58,21.5655,0.4141,92.8769,2.1707,2.2373,1.2046,46.6587,-48.4018,-48.4018,15.6658,-59.2813,-58.2346,-48.4075,-19.81,15.6772,-50.452,4.1477,-5.4913,4.1265,-38.5262,-38.5262,-4.1578,15.7535,4.1265
