ts_code,trade_date,open,high,low,close,vol,amount
002047.SZ,20260416,5.42,5.6,5.36,5.55,249087.25,137297.447
002047.SZ,20260415,5.36,5.47,5.3,5.38,225135.97,120781.261
002047.SZ,20260414,5.32,5.4,5.17,5.38,357857.6,189109.276
002047.SZ,20260413,5.17,5.25,5.07,5.25,495602.0,257843.618
002047.SZ,20260410,4.81,5.0,4.81,5.0,138996.51,68725.814
002047.SZ,20260409,4.61,4.76,4.51,4.76,298324.02,138784.909
002047.SZ,20260408,4.58,4.72,4.5,4.56,322140.52,147796.82
002047.SZ,20260407,4.62,4.7,4.52,4.52,296186.41,135001.268
002047.SZ,20260403,5.0,5.0,4.72,4.76,215227.31,103504.384
002047.SZ,20260402,4.95,5.04,4.9,4.97,165367.0,82092.67
002047.SZ,20260401,5.0,5.02,4.8,4.96,240152.0,118088.644
002047.SZ,20260331,5.39,5.4,4.88,4.91,428303.3,218413.671
002047.SZ,20260330,5.01,5.24,4.95,5.14,345520.91,176373.385
002047.SZ,20260327,4.88,5.08,4.81,5.06,352679.0,174926.095
002047.SZ,20260326,5.36,5.39,5.06,5.06,438757.66,224915.04
002047.SZ,20260325,5.51,5.65,5.25,5.33,308079.52,168065.001
002047.SZ,20260324,5.5,5.55,5.22,5.46,385514.69,204900.082
002047.SZ,20260323,5.69,5.72,5.49,5.49,233676.0,129252.052
002047.SZ,20260320,5.81,5.85,5.73,5.78,174058.5,100709.562
002047.SZ,20260319,5.73,5.9,5.73,5.81,240891.76,140523.923
002047.SZ,20260318,5.72,5.8,5.51,5.78,279964.03,158549.01
002047.SZ,20260317,5.75,5.87,5.51,5.63,496235.84,283154.085
002047.SZ,20260316,5.91,6.11,5.8,5.8,522697.0,311196.513
002047.SZ,20260313,5.78,5.97,5.63,5.83,567973.04,330874.254
002047.SZ,20260312,5.5,5.72,5.47,5.72,419969.47,236209.195
002047.SZ,20260311,5.55,5.66,5.38,5.45,470451.73,258560.955
002047.SZ,20260310,5.38,5.6,5.31,5.56,415295.2,228358.404
002047.SZ,20260309,5.13,5.33,5.05,5.33,389385.32,203905.46
002047.SZ,20260306,4.93,5.15,4.9,5.08,288205.14,145854.093
002047.SZ,20260305,4.84,4.98,4.82,4.91,171787.92,84115.266
002047.SZ,20260304,4.61,4.86,4.61,4.82,171807.0,82134.617
002047.SZ,20260303,4.95,5.07,4.74,4.75,361265.48,176135.424
002047.SZ,20260302,4.83,4.9,4.71,4.83,517076.01,247970.841
002047.SZ,20260227,4.77,4.96,4.73,4.96,284155.37,139150.826
002047.SZ,20260226,4.9,4.9,4.57,4.72,504048.46,239469.862
002047.SZ,20260225,4.66,4.69,4.6,4.69,169108.62,79132.986
002047.SZ,20260224,4.31,4.47,4.31,4.47,161565.44,71440.003
002047.SZ,20260213,4.2,4.32,4.19,4.26,143551.19,61098.857
002047.SZ,20260212,4.23,4.3,4.19,4.21,168280.0,71243.076
002047.SZ,20260211,4.27,4.29,4.17,4.2,137434.11,57874.32
002047.SZ,20260210,4.31,4.35,4.2,4.27,169900.1,72378.631
002047.SZ,20260209,4.27,4.35,4.22,4.32,169493.34,72912.619
002047.SZ,20260206,4.35,4.36,4.26,4.27,103535.46,44694.544
002047.SZ,20260205,4.3,4.36,4.26,4.34,114713.01,49443.272
002047.SZ,20260204,4.3,4.42,4.29,4.31,148820.4,64597.768
002047.SZ,20260203,4.31,4.35,4.22,4.33,157325.13,67624.435
002047.SZ,20260202,4.16,4.38,4.16,4.29,218550.17,93189.773
002047.SZ,20260130,4.05,4.4,4.05,4.19,349554.89,148636.467
002047.SZ,20260129,4.3,4.36,4.25,4.25,141253.0,60287.213
