trade_date,open,high,low,close,vol,amount,ts_code
2020-01-02,19.42,19.77,19.34,19.44,322867,631660576.0,002123.SZ
2020-01-03,19.47,19.63,18.82,19.47,379094,729089792.0,002123.SZ
2020-01-06,19.57,19.84,19.29,19.46,316381,616350496.0,002123.SZ
2020-01-07,19.49,19.67,18.75,19.16,448663,855021968.0,002123.SZ
2020-01-08,18.81,19.14,18.63,18.75,197181,372861344.0,002123.SZ
2020-01-09,18.99,19.58,18.87,19.41,332655,644543040.0,002123.SZ
2020-01-10,19.46,19.6,18.89,19.07,256818,491048576.0,002123.SZ
2020-01-13,19.06,19.06,18.58,19.0,302013,568728320.0,002123.SZ
2020-01-14,19.0,19.33,18.68,18.69,327614,623262480.0,002123.SZ
2020-01-15,18.69,18.83,18.3,18.51,278635,516538368.0,002123.SZ
2020-01-16,18.57,19.52,18.25,19.27,431619,822129632.0,002123.SZ
2020-01-17,19.3,19.88,19.06,19.62,476884,930775344.0,002123.SZ
2020-01-20,19.58,19.65,19.17,19.6,330636,642949712.0,002123.SZ
2020-01-21,19.57,20.2,19.28,19.73,324360,643429040.0,002123.SZ
2020-01-22,19.57,20.4,19.31,20.35,352253,705505808.0,002123.SZ
2020-01-23,18.57,20.17,18.57,19.27,620807,1206336832.0,002123.SZ
2020-02-03,17.34,17.34,17.34,17.34,59308,103017996.0,002123.SZ
2020-02-04,15.87,18.06,15.87,17.97,360290,628952336.0,002123.SZ
2020-02-05,17.84,19.05,17.84,18.63,301040,559970048.0,002123.SZ
2020-02-06,18.87,19.75,18.52,19.74,352669,680734416.0,002123.SZ
2020-02-07,20.42,20.42,19.23,19.49,308672,609782288.0,002123.SZ
2020-02-10,19.77,20.17,19.02,19.24,273825,532911520.0,002123.SZ
2020-02-11,19.17,19.27,18.48,18.67,228438,428147504.0,002123.SZ
2020-02-12,18.52,19.07,18.28,19.01,241060,452655760.0,002123.SZ
2020-02-13,19.02,19.02,18.09,18.36,239979,444395936.0,002123.SZ
2020-02-14,18.17,18.65,17.77,17.91,264397,480775136.0,002123.SZ
2020-02-17,17.92,18.25,17.67,18.19,218936,395307008.0,002123.SZ
2020-02-18,18.2,19.13,17.99,19.12,393603,732067792.0,002123.SZ
2020-02-19,19.07,19.07,18.43,18.47,236237,441980560.0,002123.SZ
2020-02-20,18.33,19.05,18.02,18.96,351391,656206480.0,002123.SZ
2020-02-21,19.88,20.86,19.62,20.86,736123,1507944912.0,002123.SZ
2020-02-24,20.97,22.53,20.78,22.36,890055,1936991344.0,002123.SZ
2020-02-25,21.06,22.06,20.12,21.49,697388,1490692224.0,002123.SZ
2020-02-26,20.97,21.12,19.91,19.93,454473,928207648.0,002123.SZ
2020-02-27,19.91,20.39,18.98,19.66,352343,695156752.0,002123.SZ
2020-02-28,18.7,19.07,18.01,18.12,317035,587646912.0,002123.SZ
2020-03-02,18.0,18.75,17.44,18.39,330810,600349440.0,002123.SZ
2020-03-03,18.62,19.03,18.17,18.31,239330,448589264.0,002123.SZ
2020-03-04,17.96,18.36,17.78,18.15,175573,317165120.0,002123.SZ
2020-03-05,18.67,18.82,18.07,18.17,218814,401677952.0,002123.SZ
2020-03-06,17.84,18.05,17.75,17.92,156223,280516288.0,002123.SZ
2020-03-09,17.52,18.35,17.42,17.45,203721,362584080.0,002123.SZ
2020-03-10,17.08,18.06,17.01,18.03,202887,356953328.0,002123.SZ
