ts_code,trade_date,open,high,low,close,vol,amount
600775.SH,20260416,13.37,13.5,13.32,13.49,149644.93,201095.088
600775.SH,20260415,13.6,13.8,13.33,13.39,194731.08,263988.705
600775.SH,20260414,13.51,13.58,13.39,13.58,205410.0,277205.217
600775.SH,20260413,13.29,13.46,13.21,13.37,149937.76,200247.762
600775.SH,20260410,13.53,13.66,13.4,13.42,189376.21,255935.221
600775.SH,20260409,13.51,13.58,13.35,13.43,203289.27,273310.137
600775.SH,20260408,13.28,13.73,13.24,13.72,281241.47,379912.94
600775.SH,20260407,12.74,13.07,12.74,13.02,214087.81,277549.416
600775.SH,20260403,13.31,13.4,12.65,12.7,270057.07,347703.279
600775.SH,20260402,13.83,13.97,13.12,13.2,350538.53,472295.34
600775.SH,20260401,13.6,13.68,13.39,13.63,239513.15,324583.603
600775.SH,20260331,13.52,13.78,13.3,13.36,234914.36,317743.798
600775.SH,20260330,13.19,13.62,13.0,13.54,253013.69,337776.284
600775.SH,20260327,13.16,13.55,13.02,13.4,219382.27,292477.833
600775.SH,20260326,13.86,13.97,13.32,13.38,288659.32,392164.81
600775.SH,20260325,13.82,14.05,13.74,13.85,342653.67,476319.813
600775.SH,20260324,13.44,13.89,13.36,13.79,476502.18,647427.18
600775.SH,20260323,13.55,13.99,13.0,13.08,468567.58,631880.416
600775.SH,20260320,14.7,15.07,13.97,13.98,466006.96,677691.921
600775.SH,20260319,14.71,15.15,14.34,14.43,511866.13,747244.594
600775.SH,20260318,15.0,15.42,14.8,15.12,564975.58,850387.22
600775.SH,20260317,15.42,16.36,15.3,15.32,763004.2,1197077.666
600775.SH,20260316,16.24,16.99,15.78,15.92,1119289.8,1846463.659
600775.SH,20260313,15.53,16.99,15.02,16.24,1073585.92,1703397.534
600775.SH,20260312,15.58,16.14,15.41,15.8,779417.89,1224167.545
600775.SH,20260311,15.9,16.6,15.31,15.96,1292629.21,2057018.692
600775.SH,20260310,15.18,15.3,14.95,15.28,712283.51,1079040.441
600775.SH,20260309,14.2,15.2,14.2,15.2,829319.03,1244327.837
600775.SH,20260306,14.5,15.17,14.32,14.85,973455.44,1448075.961
600775.SH,20260305,13.76,14.92,13.75,14.68,1046944.31,1529695.75
600775.SH,20260304,13.3,13.82,13.25,13.56,202800.0,275880.607
600775.SH,20260303,14.32,14.52,13.52,13.55,397127.25,552505.526
600775.SH,20260302,14.6,14.68,14.2,14.23,422629.36,608228.2
600775.SH,20260227,14.5,14.89,14.48,14.83,343907.32,506281.961
600775.SH,20260226,14.82,14.83,14.5,14.58,347489.29,507122.838
600775.SH,20260225,14.54,14.84,14.49,14.82,428206.71,631180.034
600775.SH,20260224,14.43,14.65,14.23,14.51,309070.5,448387.533
600775.SH,20260213,14.25,14.67,14.23,14.43,270374.0,391954.776
600775.SH,20260212,14.32,14.5,14.19,14.35,214252.35,308100.935
600775.SH,20260211,14.33,14.6,14.31,14.33,218160.04,315497.213
600775.SH,20260210,14.6,14.67,14.3,14.43,275190.49,397341.803
600775.SH,20260209,14.48,14.8,14.46,14.65,430679.13,629706.008
600775.SH,20260206,14.0,14.45,13.92,14.29,363979.1,520223.301
600775.SH,20260205,14.3,14.68,14.17,14.36,335033.5,482498.517
600775.SH,20260204,14.31,14.51,14.17,14.46,357475.65,513718.634
600775.SH,20260203,14.09,14.39,14.04,14.36,377749.43,537899.725
600775.SH,20260202,13.83,14.3,13.7,14.0,324699.03,457857.779
600775.SH,20260130,14.1,14.29,13.7,13.88,339696.28,471640.632
600775.SH,20260129,14.15,14.75,13.94,14.23,460603.41,664326.878
600775.SH,20260128,14.72,14.75,14.19,14.3,420457.49,605008.819
600775.SH,20260127,14.4,14.81,14.05,14.8,458864.59,662248.271
600775.SH,20260126,15.17,15.25,14.35,14.58,673195.95,991246.238
600775.SH,20260123,15.01,15.67,14.75,15.17,1077880.21,1639138.539
600775.SH,20260122,14.33,14.7,14.24,14.62,541291.99,788409.101
600775.SH,20260121,14.27,14.48,14.01,14.32,359621.53,514342.348
600775.SH,20260120,14.93,15.05,14.21,14.4,533973.43,774076.213
600775.SH,20260119,15.08,15.25,14.85,14.92,517960.26,778084.513
600775.SH,20260116,15.93,16.11,14.85,14.99,924358.89,1413665.498
600775.SH,20260115,17.0,17.0,15.8,15.94,1218865.47,1977453.241
600775.SH,20260114,16.77,18.49,16.72,17.55,1413511.76,2504259.633
600775.SH,20260113,19.8,19.8,17.59,17.59,1627371.3,2921317.241
600775.SH,20260112,18.16,20.04,18.16,19.54,2278068.98,4370537.334
600775.SH,20260109,17.72,19.44,17.0,18.22,2662417.62,4844497.718
600775.SH,20260108,17.0,17.89,16.32,17.89,2192851.0,3730050.557
600775.SH,20260107,16.26,16.26,16.26,16.26,90444.32,147062.464
600775.SH,20260106,14.78,14.78,14.78,14.78,62068.47,91737.199
600775.SH,20260105,13.44,13.44,13.44,13.44,155470.77,208952.715
600775.SH,20251231,12.2,12.34,12.0,12.22,353070.35,430362.364
600775.SH,20251230,12.49,12.5,12.14,12.2,566931.57,693974.48
600775.SH,20251229,12.39,12.87,12.15,12.54,840683.43,1056049.678
600775.SH,20251226,12.08,12.69,12.02,12.31,862504.42,1063312.833
600775.SH,20251225,11.92,12.24,11.8,12.09,947033.25,1140203.765
600775.SH,20251224,10.87,12.05,10.85,12.05,858822.0,1005383.629
600775.SH,20251223,11.1,11.1,10.82,10.95,181729.44,198754.51
600775.SH,20251222,11.09,11.17,11.05,11.11,164285.8,182578.684
600775.SH,20251219,11.0,11.29,10.91,11.09,227254.97,251047.262
600775.SH,20251218,10.7,11.12,10.7,10.95,261411.57,287781.941
600775.SH,20251217,10.75,11.06,10.58,10.9,321057.71,347136.006
