ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
603027.SH,千禾味业,20250831,千禾味业：Q2经营承压，期待后续改善,点评,一般报告,西南证券,"朱会振,舒尚立",2027Q4,331671.0,,73157.0,61882.0,0.6,20.43,2.24,13.64,11.36,持有,,
603027.SH,千禾味业,20250831,千禾味业：Q2经营承压，期待后续改善,点评,一般报告,西南证券,"朱会振,舒尚立",2026Q4,315486.0,,66636.0,56346.0,0.55,22.44,1.7,13.41,12.83,持有,,
603027.SH,千禾味业,20250831,千禾味业：Q2经营承压，期待后续改善,点评,一般报告,西南证券,"朱会振,舒尚立",2025Q4,286983.0,,52427.0,44379.0,0.43,28.49,1.88,11.51,16.27,持有,,
688271.SH,联影医疗,20250831,Shanghai_United_Imaging_Healthcare_Co：2Q_Above_MSe；Accelerated_2H_Growth_Seen_Driven_by_Policy_Tailwinds，Innovative_Initiatives，Global_Expansion,一般,首份报告,Morgan Stanley,"Alexis Yan,吴政鋆",2027Q4,1776520.0,,,269990.0,,,0.1,11.4,29.6,Equal weight,,140.0
688271.SH,联影医疗,20250831,Shanghai_United_Imaging_Healthcare_Co：2Q_Above_MSe；Accelerated_2H_Growth_Seen_Driven_by_Policy_Tailwinds，Innovative_Initiatives，Global_Expansion,一般,首份报告,Morgan Stanley,"Alexis Yan,吴政鋆",2026Q4,1484420.0,,,219850.0,,,0.1,10.2,36.2,Equal weight,,140.0
688271.SH,联影医疗,20250831,Shanghai_United_Imaging_Healthcare_Co：2Q_Above_MSe；Accelerated_2H_Growth_Seen_Driven_by_Policy_Tailwinds，Innovative_Initiatives，Global_Expansion,一般,首份报告,Morgan Stanley,"Alexis Yan,吴政鋆",2025Q4,1245680.0,,,170320.0,,,0.1,8.6,45.3,Equal weight,,140.0
688069.SH,德林海,20250831,德林海：构建湖泊生态医院新模式，迎美丽河湖大市场,深度,首次关注,银河证券,"陶贻功,梁悠南,马敏",2027Q4,70713.0,27489.0,15992.0,13913.0,1.23,18.05,,8.85,11.83,推荐,,
688069.SH,德林海,20250831,德林海：构建湖泊生态医院新模式，迎美丽河湖大市场,深度,首次关注,银河证券,"陶贻功,梁悠南,马敏",2026Q4,64089.0,25595.0,13838.0,12177.0,1.08,20.63,,8.5,12.87,推荐,,
688069.SH,德林海,20250831,德林海：构建湖泊生态医院新模式，迎美丽河湖大市场,深度,首次关注,银河证券,"陶贻功,梁悠南,马敏",2025Q4,55466.0,22809.0,7860.0,7231.0,0.64,34.74,,5.52,15.57,推荐,,
002600.SZ,领益智造,20250831,Lingyi：Server_and_foldable_phones_components_in_expansion；2Q25_OP_beat；TP_raised_to_Rmb20.1；Buy,点评,一般报告,高盛集团（GoldmanSachs）,"Allen Chang,Verena Jeng,Ting Song",2027Q4,8347840.0,1611500.0,721330.0,565960.0,0.81,,0.4,19.8,11.0,Buy,,20.1
002600.SZ,领益智造,20250831,Lingyi：Server_and_foldable_phones_components_in_expansion；2Q25_OP_beat；TP_raised_to_Rmb20.1；Buy,点评,一般报告,高盛集团（GoldmanSachs）,"Allen Chang,Verena Jeng,Ting Song",2026Q4,6904540.0,1294500.0,518250.0,405530.0,0.58,,0.3,16.8,14.5,Buy,,20.1
002600.SZ,领益智造,20250831,Lingyi：Server_and_foldable_phones_components_in_expansion；2Q25_OP_beat；TP_raised_to_Rmb20.1；Buy,点评,一般报告,高盛集团（GoldmanSachs）,"Allen Chang,Verena Jeng,Ting Song",2026Q1,,,,,0.14,,,,,Buy,,20.1
002600.SZ,领益智造,20250831,Lingyi：Server_and_foldable_phones_components_in_expansion；2Q25_OP_beat；TP_raised_to_Rmb20.1；Buy,点评,一般报告,高盛集团（GoldmanSachs）,"Allen Chang,Verena Jeng,Ting Song",2025Q4,5573410.0,917900.0,335190.0,262230.0,0.37,,0.2,12.5,20.6,Buy,,20.1
688249.SH,晶合集成,20250831,Nexchip：Migrations_to_40nm_28nm_with_stable_capacity_expansions；2Q_Rev／NI_in－line_while_GM_missed；Buy,点评,首次关注,高盛集团（GoldmanSachs）,"Allen Chang,Verena Jeng,张璇",2027Q4,1686160.0,502900.0,193800.0,205200.0,1.02,,1.5,,,Buy,,28.6
688249.SH,晶合集成,20250831,Nexchip：Migrations_to_40nm_28nm_with_stable_capacity_expansions；2Q_Rev／NI_in－line_while_GM_missed；Buy,点评,首次关注,高盛集团（GoldmanSachs）,"Allen Chang,Verena Jeng,张璇",2026Q4,1458470.0,413700.0,123100.0,133400.0,0.67,,1.0,,,Buy,,28.6
