ts_code,symbol,name,area,industry,list_date
000001.SZ,000001,平安银行,,,
000002.SZ,000002,万  科Ａ,,,
000004.SZ,000004,*ST国华,,,
000006.SZ,000006,深振业Ａ,,,
000007.SZ,000007,全新好,,,
000008.SZ,000008,神州高铁,,,
000009.SZ,000009,中国宝安,,,
000010.SZ,000010,美丽生态,,,
000011.SZ,000011,深物业A,,,
000012.SZ,000012,南  玻Ａ,,,
000014.SZ,000014,沙河股份,,,
000016.SZ,000016,深康佳Ａ,,,
000017.SZ,000017,深中华A,,,
000019.SZ,000019,深粮控股,,,
000020.SZ,000020,深华发Ａ,,,
000021.SZ,000021,深科技,,,
000025.SZ,000025,特  力Ａ,,,
000026.SZ,000026,飞亚达,,,
000027.SZ,000027,深圳能源,,,
000028.SZ,000028,国药一致,,,
000029.SZ,000029,深深房Ａ,,,
000030.SZ,000030,富奥股份,,,
000031.SZ,000031,大悦城,,,
000032.SZ,000032,深桑达Ａ,,,
000034.SZ,000034,神州数码,,,
000035.SZ,000035,中国天楹,,,
000036.SZ,000036,华联控股,,,
000037.SZ,000037,深南电A,,,
000039.SZ,000039,中集集团,,,
000042.SZ,000042,中洲控股,,,
000045.SZ,000045,深纺织Ａ,,,
000048.SZ,000048,京基智农,,,
000049.SZ,000049,德赛电池,,,
000050.SZ,000050,深天马Ａ,,,
000055.SZ,000055,方大集团,,,
000056.SZ,000056,皇庭国际,,,
000058.SZ,000058,深 赛 格,,,
000059.SZ,000059,华锦股份,,,
000060.SZ,000060,中金岭南,,,
000061.SZ,000061,农 产 品,,,
000062.SZ,000062,深圳华强,,,
000063.SZ,000063,中兴通讯,,,
000065.SZ,000065,北方国际,,,
000066.SZ,000066,中国长城,,,
000068.SZ,000068,华控赛格,,,
000069.SZ,000069,华侨城Ａ,,,
000070.SZ,000070,特发信息,,,
000078.SZ,000078,海王生物,,,
000088.SZ,000088,盐 田 港,,,
000089.SZ,000089,深圳机场,,,
000090.SZ,000090,天健集团,,,
000096.SZ,000096,广聚能源,,,
000099.SZ,000099,中信海直,,,
000100.SZ,000100,TCL科技,,,
000151.SZ,000151,中成股份,,,
000153.SZ,000153,丰原药业,,,
000155.SZ,000155,川能动力,,,
000156.SZ,000156,华数传媒,,,
000157.SZ,000157,中联重科,,,
000158.SZ,000158,常山北明,,,
000159.SZ,000159,国际实业,,,
000166.SZ,000166,申万宏源,,,
000301.SZ,000301,东方盛虹,,,
000333.SZ,000333,美的集团,,,
000338.SZ,000338,潍柴动力,,,
000400.SZ,000400,许继电气,,,
000401.SZ,000401,金隅冀东,,,
000402.SZ,000402,金 融 街,,,
000403.SZ,000403,派林生物,,,
000404.SZ,000404,长虹华意,,,
000407.SZ,000407,胜利股份,,,
000408.SZ,000408,藏格矿业,,,
000409.SZ,000409,云鼎科技,,,
000410.SZ,000410,沈阳机床,,,
000411.SZ,000411,英特集团,,,
000415.SZ,000415,渤海租赁,,,
000417.SZ,000417,合百集团,,,
000419.SZ,000419,通程控股,,,
000420.SZ,000420,吉林化纤,,,
000421.SZ,000421,南京公用,,,
000422.SZ,000422,湖北宜化,,,
000423.SZ,000423,东阿阿胶,,,
000425.SZ,000425,徐工机械,,,
000426.SZ,000426,兴业银锡,,,
000428.SZ,000428,华天酒店,,,
000429.SZ,000429,粤高速Ａ,,,
000430.SZ,000430,ST张家界,,,
000488.SZ,000488,ST晨鸣,,,
000498.SZ,000498,山东路桥,,,
000501.SZ,000501,武商集团,,,
000503.SZ,000503,国新健康,,,
000504.SZ,000504,*ST生物,,,
000505.SZ,000505,京粮控股,,,
000506.SZ,000506,招金黄金,,,
000507.SZ,000507,珠海港,,,
000509.SZ,000509,华塑控股,,,
000510.SZ,000510,新金路,,,
000513.SZ,000513,丽珠集团,,,
000514.SZ,000514,渝 开 发,,,
000516.SZ,000516,国际医学,,,
000517.SZ,000517,荣安地产,,,
000518.SZ,000518,*ST四环,,,
000519.SZ,000519,中兵红箭,,,
000520.SZ,000520,凤凰航运,,,
000521.SZ,000521,长虹美菱,,,
000523.SZ,000523,红棉股份,,,
000524.SZ,000524,岭南控股,,,
000525.SZ,000525,红太阳,,,
000526.SZ,000526,学大教育,,,
000528.SZ,000528,柳    工,,,
000529.SZ,000529,广弘控股,,,
000530.SZ,000530,冰山冷热,,,
000531.SZ,000531,穗恒运Ａ,,,
000532.SZ,000532,华金资本,,,
000533.SZ,000533,顺钠股份,,,
000534.SZ,000534,万泽股份,,,
000536.SZ,000536,华映科技,,,
000537.SZ,000537,绿发电力,,,
000538.SZ,000538,云南白药,,,
000539.SZ,000539,粤电力Ａ,,,
