year,event_type,event_count,expectation_match_count,usable_signal_count,strict_count,expectation_match_share,usable_signal_share,strict_share
2020,express,7,0,0,0,0.0,0.0,0.0
2020,formal_release,345,1,1,1,0.002898550724637681,0.002898550724637681,0.002898550724637681
2020,preannouncement,176,1,0,1,0.005681818181818182,0.0,0.005681818181818182
2020,revision,3,0,0,0,0.0,0.0,0.0
2021,express,53,16,16,16,0.3018867924528302,0.3018867924528302,0.3018867924528302
2021,formal_release,460,50,50,50,0.10869565217391304,0.10869565217391304,0.10869565217391304
2021,preannouncement,287,26,26,26,0.09059233449477352,0.09059233449477352,0.09059233449477352
2021,revision,223,1,1,1,0.004484304932735426,0.004484304932735426,0.004484304932735426
2022,express,24,10,10,10,0.4166666666666667,0.4166666666666667,0.4166666666666667
2022,formal_release,460,52,52,52,0.11304347826086956,0.11304347826086956,0.11304347826086956
2022,preannouncement,147,26,26,26,0.17687074829931973,0.17687074829931973,0.17687074829931973
2022,revision,145,25,25,25,0.1724137931034483,0.1724137931034483,0.1724137931034483
2023,express,29,11,11,11,0.3793103448275862,0.3793103448275862,0.3793103448275862
2023,formal_release,460,52,52,52,0.11304347826086956,0.11304347826086956,0.11304347826086956
2023,preannouncement,151,31,31,31,0.2052980132450331,0.2052980132450331,0.2052980132450331
2023,revision,140,25,25,25,0.17857142857142858,0.17857142857142858,0.17857142857142858
2024,express,11,4,4,4,0.36363636363636365,0.36363636363636365,0.36363636363636365
2024,formal_release,460,54,54,54,0.11739130434782609,0.11739130434782609,0.11739130434782609
2024,preannouncement,151,30,30,30,0.1986754966887417,0.1986754966887417,0.1986754966887417
2024,revision,148,30,30,30,0.20270270270270271,0.20270270270270271,0.20270270270270271
2025,express,9,5,5,5,0.5555555555555556,0.5555555555555556,0.5555555555555556
2025,formal_release,460,52,52,52,0.11304347826086956,0.11304347826086956,0.11304347826086956
2025,preannouncement,124,24,24,24,0.1935483870967742,0.1935483870967742,0.1935483870967742
2025,revision,28,9,9,9,0.32142857142857145,0.32142857142857145,0.32142857142857145
2026,express,7,4,4,4,0.5714285714285714,0.5714285714285714,0.5714285714285714
2026,formal_release,65,31,31,31,0.47692307692307695,0.47692307692307695,0.47692307692307695
2026,preannouncement,66,23,23,23,0.3484848484848485,0.3484848484848485,0.3484848484848485
2026,revision,38,11,11,11,0.2894736842105263,0.2894736842105263,0.2894736842105263
