ts_code,event_type,report_period,announcement_date,event_trading_date,earnings_surprise,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,positive_revision_dummy,CAR20,CAR60,size,beta,book_to_market,turnover20,log_size,high_ES_dummy,strong_ES_dummy
000159.SZ,guidance_initial,2020-06-30,2020-07-07,2020-07-08,465.735,465.735,0.0,fallback_zero,0,0.08704765451700613,0.0674141521808681,303793.5476,1.1758612986466284,0.676544212164265,,12.624103629945251,1,1
000400.SZ,guidance_initial,2020-06-30,2020-07-07,2020-07-08,83.5,83.5,0.0,fallback_zero,0,0.060121790912377966,-0.01699606874339386,2652492.3364,1.0484881186927058,0.4626844954425577,,14.791010260267232,1,1
000090.SZ,guidance_initial,2020-06-30,2020-07-09,2020-07-10,336.22,419.72,83.5,cross_sectional_90d_median,0,0.08865531941550372,-0.0903242458395537,682019.0834,0.9686763842333322,1.655355073663301,,13.43281291795905,1,1
000037.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,222.17020000000002,305.6702,83.5,cross_sectional_90d_median,0,0.19565126553969434,0.0839757937380778,606379.1716,0.824798057640682,0.2766481312418735,,13.315260765095076,1,1
000151.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,70.0,153.5,83.5,cross_sectional_90d_median,0,-0.014630303774532578,-0.08337549248203219,418631.1992,0.813375126801757,0.11569253551760841,,12.944745618467005,1,1
000531.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,51.5,135.0,83.5,cross_sectional_90d_median,0,0.03913112776838334,-0.07892612324428044,695656.0898,0.9066151883371215,0.9697439875872771,,13.452610693346562,1,1
000017.SZ,guidance_initial,2020-06-30,2020-07-13,2020-07-14,329.43025,412.93025,83.5,cross_sectional_90d_median,0,0.016533574766467843,-0.06623296832999644,474848.4188,0.9291460049770247,0.07882208279471577,,13.070750913771905,1,1
000409.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,43.44149999999999,152.6915,109.25,cross_sectional_90d_median,0,-0.03311422776042587,-0.06276964958905044,757725.0646,0.6419829039252348,0.2118958320089844,,13.538075887219243,1,1
000421.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,504.53,613.78,109.25,cross_sectional_90d_median,0,0.45406238408048427,0.3482482903289443,349244.7663,0.7030457657124943,0.7848061528802386,,12.76352829146648,1,1
000529.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,10.75,120.0,109.25,cross_sectional_90d_median,0,-0.02420477070980112,-0.0955556262229871,339765.9721,1.0290166362921602,0.9328358208955223,,12.736012342240254,1,0
000014.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,617.3594499999999,677.8894499999999,60.53,cross_sectional_90d_median,0,0.037716677099723026,-0.19886377976859212,322647.6166,0.697406027597328,0.45660015524405273,,12.684316036384898,1,1
000027.SZ,guidance_upward_revision,2020-06-30,2020-07-15,2020-07-16,19.120000000000005,171.0,151.88,prior_guidance_same_period,1,-0.034237546130162166,-0.025720173280357937,3192208.6336,0.8067494365080715,1.0256410256410258,,14.976223596819382,1,1
000061.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,48.83999999999999,109.36999999999999,60.53,cross_sectional_90d_median,0,0.033624515641759944,-0.10363590336026887,1456961.5193,0.9138805804116533,0.5835327070082278,,14.191863673915734,1,1
000410.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,12.876200000000011,73.40620000000001,60.53,cross_sectional_90d_median,0,0.11891661586746383,-0.012217988436669661,1780177.062,0.5280775997614828,0.331928170743851,,14.39222339035486,1,0
000533.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,126.04724999999999,186.57725,60.53,cross_sectional_90d_median,0,0.06760242619667924,0.0432354052644804,1083890.304,1.1006920222142762,0.0893854748603352,,13.896067260289156,1,1
000411.SZ,guidance_initial,2020-06-30,2020-07-31,2020-08-03,52.69,-17.81,-70.5,cross_sectional_90d_median,0,-0.16102077381409785,-0.09258101229059176,628112.2504,0.532134222475003,0.8101758081503687,,13.350474172152927,1,1
000421.SZ,guidance_initial,2020-09-30,2020-08-20,2020-08-21,362.94,362.94,0.0,fallback_zero,0,-0.15810111143612693,-0.27073576842776614,349244.7663,0.6285871334129363,0.7848061528802386,,12.76352829146648,1,1
000529.SZ,guidance_initial,2020-09-30,2020-08-22,2020-08-24,65.0,65.0,0.0,fallback_zero,0,-0.13706572408419426,-0.30385249308345663,339765.9721,1.0022286448483537,0.9328358208955223,,12.736012342240254,1,1
000027.SZ,guidance_initial,2020-09-30,2020-08-26,2020-08-27,98.405,98.405,0.0,fallback_zero,0,-0.0266172176728692,-0.002124953689496084,3192208.6336,0.8092454918062669,1.0256410256410258,,14.976223596819382,1,1
000055.SZ,guidance_initial,2020-09-30,2020-09-22,2020-09-23,40.0,40.0,0.0,fallback_zero,0,-0.03690915904973597,-0.16628377514284548,378003.7279,0.7458663757468608,1.4705882352941175,,12.842659336722406,1,1
000536.SZ,guidance_initial,2020-09-30,2020-09-25,2020-09-28,75.185,140.185,65.0,cross_sectional_90d_median,0,-0.10103683393967917,0.3218918817273031,1175563.9413,0.48953300248854537,0.04865043688092319,,13.977258540463767,1,1
000009.SZ,guidance_initial,2020-09-30,2020-10-09,2020-10-12,74.9175,156.62,81.7025,cross_sectional_90d_median,0,0.025101119261499688,-0.07873971684674594,2305817.2847,1.1491979997639097,0.4370820402989641,,14.65094574193643,1,1
