ts_code,event_type,report_period,announcement_date,event_trading_date,earnings_surprise,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,positive_revision_dummy,CAR20,CAR60,size,beta,book_to_market,turnover20
000159.SZ,guidance_initial,2020-06-30,2020-07-07,2020-07-08,465.735,465.735,0.0,fallback_zero,0,0.08704765451700613,0.0674141521808681,303793.5476,1.1758612986466284,0.676544212164265,
000400.SZ,guidance_initial,2020-06-30,2020-07-07,2020-07-08,83.5,83.5,0.0,fallback_zero,0,0.060121790912377966,-0.01699606874339386,2652492.3364,1.0484881186927058,0.4626844954425577,
000530.SZ,guidance_initial,2020-06-30,2020-07-08,2020-07-09,-123.06825,-123.06825,0.0,fallback_zero,0,0.133465479335173,0.02452383161744251,510986.7792,0.8884435965664038,0.6227813414710096,
000045.SZ,guidance_initial,2020-06-30,2020-07-09,2020-07-10,-172.51999999999998,-89.02,83.5,cross_sectional_90d_median,0,0.23585584798586304,0.08203328077114477,615930.5684,0.8591735166684361,0.4837695321948624,
000090.SZ,guidance_initial,2020-06-30,2020-07-09,2020-07-10,336.22,419.72,83.5,cross_sectional_90d_median,0,0.08865531941550372,-0.0903242458395537,682019.0834,0.9686763842333322,1.655355073663301,
000031.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-154.0,-70.5,83.5,cross_sectional_90d_median,0,-0.059393784041466814,-0.2090061501842842,1243030.8683,0.8784566244183665,0.8151952392598028,
000037.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,222.17020000000002,305.6702,83.5,cross_sectional_90d_median,0,0.19565126553969434,0.0839757937380778,606379.1716,0.824798057640682,0.2766481312418735,
000059.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-293.62,-210.12,83.5,cross_sectional_90d_median,0,0.0965953827730402,-0.024235943955304557,844505.6595,0.6258837244981781,1.1936022917164002,
000151.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,70.0,153.5,83.5,cross_sectional_90d_median,0,-0.014630303774532578,-0.08337549248203219,418631.1992,0.813375126801757,0.11569253551760841,
000401.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,-115.82,-32.32,83.5,cross_sectional_90d_median,0,0.06768994233455347,-0.10751032003664637,1270627.8383,0.9874999512631898,2.14638334406525,
000531.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,51.5,135.0,83.5,cross_sectional_90d_median,0,0.03913112776838334,-0.07892612324428044,695656.0898,0.9066151883371215,0.9697439875872771,
000017.SZ,guidance_initial,2020-06-30,2020-07-13,2020-07-14,329.43025,412.93025,83.5,cross_sectional_90d_median,0,0.016533574766467843,-0.06623296832999644,474848.4188,0.9291460049770247,0.07882208279471577,
000025.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-148.115,-38.864999999999995,109.25,cross_sectional_90d_median,0,-0.04201792240658014,-0.05124391425873487,702194.0033,0.7363647667363714,0.2573870071038814,
000049.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-109.25,0.0,109.25,cross_sectional_90d_median,0,0.03819654128802192,-0.03822184429214318,1050063.1978,1.224173477995819,0.6344775077723495,
000409.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,43.44149999999999,152.6915,109.25,cross_sectional_90d_median,0,-0.03311422776042587,-0.06276964958905044,757725.0646,0.6419829039252348,0.2118958320089844,
000421.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,504.53,613.78,109.25,cross_sectional_90d_median,0,0.45406238408048427,0.3482482903289443,349244.7663,0.7030457657124943,0.7848061528802386,
000503.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-116.6872,-7.4372,109.25,cross_sectional_90d_median,0,0.03899651528127264,-0.1485032148613203,757941.4133,1.0400546992839586,0.16579073892932342,
000520.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-189.72,-80.47,109.25,cross_sectional_90d_median,0,-0.0013385753644581692,-0.05857004775232377,426087.1346,0.643104448127282,0.09452421237700037,
000529.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,10.75,120.0,109.25,cross_sectional_90d_median,0,-0.02420477070980112,-0.0955556262229871,339765.9721,1.0290166362921602,0.9328358208955223,
000539.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-71.69,37.56,109.25,cross_sectional_90d_median,0,0.02521447847869092,-0.019610589476003613,2929658.4642,0.665940996182967,0.8002560819462228,
000007.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-874.03,-813.5,60.53,cross_sectional_90d_median,0,-0.03968971860134975,0.018870358948448095,474287.3722,0.3380859288075117,0.03851516341983839,
000008.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-568.3036500000001,-507.77365000000003,60.53,cross_sectional_90d_median,0,0.016411482565823702,-0.086386178658748,733421.9744,0.8771221424091008,0.3996642820031174,
000014.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,617.3594499999999,677.8894499999999,60.53,cross_sectional_90d_median,0,0.037716677099723026,-0.19886377976859212,322647.6166,0.697406027597328,0.45660015524405273,
000016.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-132.185,-71.655,60.53,cross_sectional_90d_median,0,-0.06881503695319535,-0.20356191469581575,792214.0392,1.2144598220378753,0.1597597213790459,
000027.SZ,guidance_upward_revision,2020-06-30,2020-07-15,2020-07-16,19.120000000000005,171.0,151.88,prior_guidance_same_period,1,-0.034237546130162166,-0.025720173280357937,3192208.6336,0.8067494365080715,1.0256410256410258,
000039.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-193.62655,-133.09655,60.53,cross_sectional_90d_median,0,0.12174844539994323,0.21637939425184838,6524949.6659,0.8588176232992434,0.7100255609201931,
000056.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-146.655,-86.125,60.53,cross_sectional_90d_median,0,-0.031832815034479316,-0.21720292718443265,221132.7771,0.9154869858958491,,
000061.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,48.83999999999999,109.36999999999999,60.53,cross_sectional_90d_median,0,0.033624515641759944,-0.10363590336026887,1456961.5193,0.9138805804116533,0.5835327070082278,
000066.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-376.7235999999999,-316.19359999999995,60.53,cross_sectional_90d_median,0,0.21126759184491153,0.03069513600324982,5032246.5773,1.4118123942866094,0.2204342554833021,
000068.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-68.605,-8.075000000000001,60.53,cross_sectional_90d_median,0,0.006571975922098797,-0.15395403866861535,333208.2546,0.9911160541912711,0.18112660749864154,
000070.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-226.94500000000002,-166.41500000000002,60.53,cross_sectional_90d_median,0,0.18130767124641534,-0.017206292074275376,1870016.0665,1.1026962965881457,0.08062825536581039,
000089.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-207.12345000000002,-146.59345000000002,60.53,cross_sectional_90d_median,0,0.04498829254848312,-0.0856834849904048,1402726.3442,1.0093329825284298,0.8250144377526607,
000157.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-5.265000000000001,55.265,60.53,cross_sectional_90d_median,0,-0.004756395726578705,0.041441836693908884,7091798.8935,1.0501115024859435,0.8117542008279893,
000158.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-426.485,-365.955,60.53,cross_sectional_90d_median,0,-0.0021978641994982936,-0.3268099243005265,2850333.6135,1.3027294309285835,0.18962019075791192,
000301.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-153.625,-93.095,60.53,cross_sectional_90d_median,0,0.04743345383226216,0.15730559428623933,7629360.2636,0.6832007932788573,0.4380969070358363,
000402.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-135.53,-75.0,60.53,cross_sectional_90d_median,0,-0.015097725779470546,-0.07467117635917121,848856.0936,0.9640844622414052,2.7739251040221915,
000410.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,12.876200000000011,73.40620000000001,60.53,cross_sectional_90d_median,0,0.11891661586746383,-0.012217988436669661,1780177.062,0.5280775997614828,0.331928170743851,
000420.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-263.70500000000004,-203.175,60.53,cross_sectional_90d_median,0,-0.0011717072546943898,-0.03890030406897894,1231893.0398,0.8951711300865941,0.35905353488205094,
000422.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-696.46865,-635.93865,60.53,cross_sectional_90d_median,0,0.015631249443537235,0.01846169957957022,1731434.8615,0.505793535203152,0.34051826880512137,
000423.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-203.53,-143.0,60.53,cross_sectional_90d_median,0,0.13904152612111506,0.18769302276411684,3582443.0719,0.8201527447616476,0.2885253469517297,
000426.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-197.58,-137.05,60.53,cross_sectional_90d_median,0,-0.08388410546770778,-0.19443588205115628,7945969.932,1.2260792408125125,0.11525783176966875,
000428.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-121.81,-61.28,60.53,cross_sectional_90d_median,0,-0.06649731984136818,-0.21620084418146465,404513.622,1.018622342861791,0.3445543189883885,
000429.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-161.39755,-100.86755,60.53,cross_sectional_90d_median,0,-0.02695264482005066,-0.05656306504321974,2686685.8719,0.5918100521228193,0.41375315486780584,
000501.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-167.615,-107.08500000000001,60.53,cross_sectional_90d_median,0,0.16059605716307782,-0.24671018265410255,661333.7487,1.1539248966836768,1.6490765171503956,
000506.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-1065.07355,-1004.54355,60.53,cross_sectional_90d_median,0,0.12059451037243596,-0.021500337474850792,1614632.8686,0.9527298691902016,0.055064866412634084,
000509.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-47.102900000000005,13.4271,60.53,cross_sectional_90d_median,0,0.28915547458335833,0.21885584565500785,400276.7634,0.5667579261011486,0.030833459236625217,
000513.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-25.53,35.0,60.53,cross_sectional_90d_median,0,0.038509977585096195,-0.0015553140666219449,3046409.5037,0.6948302772039004,0.4558924093913837,
000514.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-16.700000000000003,43.83,60.53,cross_sectional_90d_median,0,-0.03139208820238759,-0.09683575109171674,405010.0632,0.8391899498526957,0.9363295880149812,
000516.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-7026.20165,-6965.67165,60.53,cross_sectional_90d_median,0,0.10265439370328533,0.12438836081285538,1052281.4739,0.9422627949410739,0.31717838112154273,
000521.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-547.025,-486.495,60.53,cross_sectional_90d_median,0,0.08617516630759814,0.0005311441328978844,589116.365,0.8459186761320678,1.0326311441553078,
000523.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-504.70745,-444.17744999999996,60.53,cross_sectional_90d_median,0,0.07679844112231902,-0.3694741904344932,592856.3129,0.6325817862891623,0.3236664940445365,
000524.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-235.355,-174.825,60.53,cross_sectional_90d_median,0,0.5000475774576854,0.05663572685216816,723825.2848,0.7308418769422435,0.3159757330637007,
000525.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-138.055,-77.525,60.53,cross_sectional_90d_median,0,-0.19026613829007025,-0.31132131476254393,766257.2221,1.0339538603436467,0.34372529474444025,
000526.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-112.765,-52.235,60.53,cross_sectional_90d_median,0,-0.09027065138264571,-0.30154891116124555,393367.6599,0.6868942617214092,0.25351755609075927,
000533.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,126.04724999999999,186.57725,60.53,cross_sectional_90d_median,0,0.06760242619667924,0.0432354052644804,1083890.304,1.1006920222142762,0.0893854748603352,
000536.SZ,guidance_initial,2020-06-30,2020-07-15,2020-07-16,-58.905,1.625,60.53,cross_sectional_90d_median,0,0.22733189338732962,0.2644011379772398,1175563.9413,0.839481658726336,0.04865043688092319,
000415.SZ,guidance_initial,2020-06-30,2020-07-16,2020-07-17,-158.90565,-224.53815,-65.6325,cross_sectional_90d_median,0,-0.08819243387932126,-0.18581891966717837,2838695.2684,1.174240882427048,1.0165700925078784,
000411.SZ,guidance_initial,2020-06-30,2020-07-31,2020-08-03,52.69,-17.81,-70.5,cross_sectional_90d_median,0,-0.16102077381409785,-0.09258101229059176,628112.2504,0.532134222475003,0.8101758081503687,
000421.SZ,guidance_initial,2020-09-30,2020-08-20,2020-08-21,362.94,362.94,0.0,fallback_zero,0,-0.15810111143612693,-0.27073576842776614,349244.7663,0.6285871334129363,0.7848061528802386,
000529.SZ,guidance_initial,2020-09-30,2020-08-22,2020-08-24,65.0,65.0,0.0,fallback_zero,0,-0.13706572408419426,-0.30385249308345663,339765.9721,1.0022286448483537,0.9328358208955223,
000027.SZ,guidance_initial,2020-09-30,2020-08-26,2020-08-27,98.405,98.405,0.0,fallback_zero,0,-0.0266172176728692,-0.002124953689496084,3192208.6336,0.8092454918062669,1.0256410256410258,
000055.SZ,guidance_initial,2020-09-30,2020-09-22,2020-09-23,40.0,40.0,0.0,fallback_zero,0,-0.03690915904973597,-0.16628377514284548,378003.7279,0.7458663757468608,1.4705882352941175,
000536.SZ,guidance_initial,2020-09-30,2020-09-25,2020-09-28,75.185,140.185,65.0,cross_sectional_90d_median,0,-0.10103683393967917,0.3218918817273031,1175563.9413,0.48953300248854537,0.04865043688092319,
000009.SZ,guidance_initial,2020-09-30,2020-10-09,2020-10-12,74.9175,156.62,81.7025,cross_sectional_90d_median,0,0.025101119261499688,-0.07873971684674594,2305817.2847,1.1491979997639097,0.4370820402989641,
000530.SZ,guidance_initial,2020-09-30,2020-10-10,2020-10-12,-194.095,-95.69,98.405,cross_sectional_90d_median,0,-0.08065661971248497,0.11077480037400692,510986.7792,0.7990966186601918,0.6227813414710096,
000014.SZ,guidance_initial,2020-09-30,2020-10-13,2020-10-14,142.96359999999999,224.6661,81.7025,cross_sectional_90d_median,0,-0.20232322097298852,-0.4502965736084451,322647.6166,1.114011571374609,0.45660015524405273,
000037.SZ,guidance_initial,2020-09-30,2020-10-13,2020-10-14,1320.0275,1401.73,81.7025,cross_sectional_90d_median,0,-0.321408123174734,-0.5676523211078629,606379.1716,0.7652641045800008,0.2766481312418735,
000400.SZ,guidance_initial,2020-09-30,2020-10-13,2020-10-14,-14.217500000000001,67.485,81.7025,cross_sectional_90d_median,0,-0.03182660966315208,-0.12322707691758385,2652492.3364,1.1140698979784383,0.4626844954425577,
000514.SZ,guidance_initial,2020-09-30,2020-10-13,2020-10-14,50.2325,131.935,81.7025,cross_sectional_90d_median,0,-0.05864612113229182,-0.18231954341870402,405010.0632,0.7268898742838306,0.9363295880149812,
000045.SZ,guidance_initial,2020-09-30,2020-10-14,2020-10-15,-67.155,48.015,115.17,cross_sectional_90d_median,0,-0.08828817792557125,-0.33488284999680873,615930.5684,0.8766287718360972,0.4837695321948624,
000059.SZ,guidance_initial,2020-09-30,2020-10-14,2020-10-15,-234.19,-119.02,115.17,cross_sectional_90d_median,0,0.05750137879215274,-0.008893274426515203,844505.6595,0.6958397975161353,1.1936022917164002,
000090.SZ,guidance_initial,2020-09-30,2020-10-14,2020-10-15,326.4,441.57,115.17,cross_sectional_90d_median,0,-0.10251612959350181,-0.42173647566661954,682019.0834,1.2640110105519409,1.655355073663301,
000159.SZ,guidance_initial,2020-09-30,2020-10-14,2020-10-15,543.7,658.87,115.17,cross_sectional_90d_median,0,-0.07574759489062005,-0.28236908061152055,303793.5476,1.5343890071321296,0.676544212164265,
000503.SZ,guidance_initial,2020-09-30,2020-10-14,2020-10-15,-125.944,-10.774,115.17,cross_sectional_90d_median,0,-0.03827721719767747,-0.4363916554112198,757941.4133,1.0776417834287004,0.16579073892932342,
000520.SZ,guidance_initial,2020-09-30,2020-10-14,2020-10-15,-177.935,-62.765,115.17,cross_sectional_90d_median,0,-0.05380052202541357,-0.2134539371078878,426087.1346,0.5403166477018834,0.09452421237700037,
000532.SZ,guidance_initial,2020-09-30,2020-10-14,2020-10-15,332.83,448.0,115.17,cross_sectional_90d_median,0,-0.011838453366795284,-0.2227086429729368,475697.5092,0.9884333786813196,0.34223134839151265,
