metric,value
run_mode,test
framework_mode,tushare_first
sample_stocks,300
forecast_rows_raw,4994
express_rows_raw,382
fina_indicator_rows_raw,7338
report_rc_rows_raw,379424
period_start,20200101
period_end,20260421
tushare_events_all,11413
tushare_events_filtered,10599
tushare_headline_events,2455
tushare_panel_rows,2455
tushare_headline_sample,preannouncement_only
tushare_headline_coef,-2.768253e-08
tushare_headline_p_value,0.540583
usable_signal_rows,326
strict_match_rows,327
headline_signal_scale,raw
headline_match_tier,strict_same_quarter
diagnostic_recommendation,B
strongest_spec_id,spec_194
strongest_spec_window,CAR10
strongest_spec_coef,-2.768253e-08
strongest_spec_p_value,0.540583
strongest_spec_nobs,245
legacy_guidance_events,0
legacy_guidance_panel_rows,0
legacy_headline_coef,
legacy_headline_p_value,
