scope,diagnostic,es_method,group_label,avg_CAR60,avg_CAR20,count,q5_gt_q1
pooled,quantile_group,raw_es,Q1,0.04166488843595775,0.030191001936946873,195,False
pooled,quantile_group,raw_es,Q2,0.00616015407663093,0.022227163943141445,195,False
pooled,quantile_group,raw_es,Q3,0.0354799049056035,0.021203427508568098,195,False
pooled,quantile_group,raw_es,Q4,0.04612194541224997,0.01881495230133314,195,False
pooled,quantile_group,raw_es,Q5,0.02970349685355554,0.01736151269822538,195,False
pooled,quantile_group,winsorized_es,Q1,0.04166488843595775,0.030191001936946873,195,False
pooled,quantile_group,winsorized_es,Q2,0.00616015407663093,0.022227163943141445,195,False
pooled,quantile_group,winsorized_es,Q3,0.0354799049056035,0.021203427508568098,195,False
pooled,quantile_group,winsorized_es,Q4,0.04612194541224997,0.01881495230133314,195,False
pooled,quantile_group,winsorized_es,Q5,0.02970349685355554,0.01736151269822538,195,False
pooled,quantile_group,zscore_es,Q1,0.05819919435919957,0.027148704776268528,195,False
pooled,quantile_group,zscore_es,Q2,0.07137807727661258,0.02367749745134714,194,False
pooled,quantile_group,zscore_es,Q3,0.007507152304804366,0.02214296472651333,195,False
pooled,quantile_group,zscore_es,Q4,0.012884538198458997,0.015051768820824346,194,False
pooled,quantile_group,zscore_es,Q5,0.009311566052985668,0.021716828139459465,195,False
pooled,piecewise_group,raw_es,negative_es,0.028423567691839628,0.024943102216868785,538,
pooled,piecewise_group,raw_es,small_positive,0.039202687160027956,0.01719363688562862,219,
pooled,piecewise_group,raw_es,medium_positive,0.0368619491746508,0.012242291836067795,130,
pooled,piecewise_group,raw_es,very_large_positive,0.026830735107035278,0.029935545186193444,88,
guidance_initial,quantile_group,raw_es,Q1,0.04225994814450486,0.030223759945714787,194,False
guidance_initial,quantile_group,raw_es,Q2,0.006957845630584918,0.023425359917383752,194,False
guidance_initial,quantile_group,raw_es,Q3,0.036030775239086654,0.020812559728026682,194,False
guidance_initial,quantile_group,raw_es,Q4,0.04429638427744198,0.01838967549145266,194,False
guidance_initial,quantile_group,raw_es,Q5,0.029780369134672226,0.017046537235077118,194,False
guidance_initial,quantile_group,winsorized_es,Q1,0.04225994814450486,0.030223759945714787,194,False
guidance_initial,quantile_group,winsorized_es,Q2,0.006957845630584918,0.023425359917383752,194,False
guidance_initial,quantile_group,winsorized_es,Q3,0.036030775239086654,0.020812559728026682,194,False
guidance_initial,quantile_group,winsorized_es,Q4,0.04429638427744198,0.01838967549145266,194,False
guidance_initial,quantile_group,winsorized_es,Q5,0.029780369134672226,0.017046537235077118,194,False
guidance_initial,quantile_group,zscore_es,Q1,0.05697200221109853,0.026539469854845798,194,False
guidance_initial,quantile_group,zscore_es,Q2,0.07171706396708112,0.02436467127779646,194,False
guidance_initial,quantile_group,zscore_es,Q3,0.007086861306310013,0.021859353571442128,193,False
guidance_initial,quantile_group,zscore_es,Q4,0.012751324083420149,0.01485320232094014,194,False
guidance_initial,quantile_group,zscore_es,Q5,0.01081649353539688,0.02259827406925685,194,False
guidance_initial,piecewise_group,raw_es,negative_es,0.028423567691839628,0.024943102216868785,538,
guidance_initial,piecewise_group,raw_es,small_positive,0.03902714513284136,0.017444146814625423,216,
guidance_initial,piecewise_group,raw_es,medium_positive,0.03696601754181378,0.012279095665334817,129,
guidance_initial,piecewise_group,raw_es,very_large_positive,0.027801764608079933,0.029297276599567587,87,
guidance_upward_revision,insufficient_obs,raw_es,insufficient_obs,,,5,
pooled,subsample_check,raw_es,all_events,0.031826077936799535,,975,
pooled,subsample_check,raw_es,es_gt_0,0.03601498070977078,,437,
pooled,subsample_check,raw_es,es_0_to_p80,0.03833077902793904,,349,
pooled,subsample_check,raw_es,es_p50_to_p80,0.03686194917465079,,130,
pooled,subsample_check,raw_es,es_top20,0.026830735107035278,,88,
